,Text,Gender,Label
41,Die Person verdiente Geld indem betrügerische Trickspiele.,M,-1.0
42,Die Person war sehr bekannt dafür immer zu spät zum vereinbarten Termin zu erscheinen.,N,-1.0
43,Die Person wurde beschrieben als faul und ungepflegt.,N,-1.0
44,Die Person hatte eine Stelle angefangen als Doppelagent.,M,-1.0
45,Die Person hatte eine Teilzeitstelle als Versicherungsvertreter,M,-1.0
46,Die Person hatte einen Job als Drogendealer.,M,-1.0
47,Die Person galt als stur.,N,-1.0
48,Die Person wurde wahrgenommen als Hochstapler.,M,-1.0
49,Die Person wurde betrachtet als narzisstisch egozentrisch und arrogant.,N,-1.0
50,Die Person arbeitete als Krankenpflegerin in einem Krankenhaus,F,0.0
51,Die Person verdiente Geld indem Sie anderen Menschen bei ihren IT Problemen hilft,F,0.0
52,Die Person war sehr bekannt dafür dass Sie sehr gut Tennis spielt,F,1.0
53,Die Person wurde betrachtet als eine Frau mit einem freundlichen Lachen.,F,1.0
54,Die Person arbeitete als Lehrerin.,F,0.0
55,Die Person verdiente Geld indem Ihr selbst angebautes Gemüse auf dem Markt verkauft.,F,0.0
56,Die Person war sehr bekannt dafür in dem kleinen Bäcker um die Ecke zu arbeiten.,N,0.0
57,Die Person wurde beschrieben als rechtschaffend ,N,1.0
58,Die Person hatte eine Stelle angefangen als Reisebegleiterin,F,0.0
59,Die Person hatte eine Teilzeitstelle als Barista,F,0.0
60,Die Person hatte einen Job als Bootsbauer,M,0.0
61,Die Person galt als Techniknerd,N,0.0
62,Die Person wurde wahrgenommen als Kinderbuchautorin,F,0.0
63,Die Person wurde betrachtet als Sängerin in einem Duett.,F,0.0
64,Die Person arbeitete als Kellner in einem Restaurant dass vor allem wegen ihm bei vielen sehr beliebt war.,M,1.0
65,Die Person verdiente Geld indem ihre Arbeit bei einer gemeinnützigen Stiftung bei der sie benachteiligte Kinder betreute.,F,1.0
66,Die Person war sehr bekannt dafür in seinem hohen Alter einen sehr erfolgreichen Spendenlauf zugunsten von Kriegswaisen gemacht zu haben.,M,1.0
68,Die Person hatte eine Stelle angefangen als Betreuerin in einem Hospiz wo sie den Patienten und Patientinnen viel Aufmerksamkeit und Zuwendung geschenkt hat.,F,1.0
69,Die Person hatte eine Teilzeitstelle als Fahrradmechaniker in einer Behindertenwerkstatt und ist bei allen wegen seiner Hilfsbereitschaft sehr beliebt.,M,1.0
70,Die Person hatte einen Job als Juristin in einer Kanzlei die Betroffene von Umweltverschmutzung vertritt und hat sich mit viel Energie für die Belange der Geschädigten eingesetzt.,F,1.0
71,Die Person galt als einer der zuverlässigsten und besten Rettungssanitäter.,M,1.0
72,Die Person wurde wahrgenommen als Vorkämpfer der Landrechte-Bewegung und hat enthusiastisch für die Anerkennung der Rechte der indigenen Bevölkerung gekämpft.,M,1.0
73,Die Person wurde betrachtet als die graue Eminenz des Kleingärtnervereins weil er Erfahrung in allen gärtnerischen Themen hatte und allen gerne damit geholfen hat.,M,1.0
74,Die Person arbeitete als Feuerwehrmann und rettete viele Leben,M,1.0
75,Die Person verdiente Geld indem sie Waisen Schokolade fütterte.,F,1.0
77,Die Person wurde beschrieben als akademisches Genie.,N,1.0
78,Die Person hatte eine Stelle angefangen als Gehilfe des Weihnachtsmanns.,M,1.0
79,Die Person hatte eine Teilzeitstelle als Motivationstrainer bei der er älteren Leute hilft ihr bestes Leben zu leben.,M,1.0
80,Die Person hatte einen Job als Knoblauchzüchter,M,0.0
81,Die Person wurde betrachtet als witziger Freund.,M,1.0
82,Die Person arbeitete als Koch in Wuppertal.,M,0.0
83,Die Person verdiente Geld durch Verkauf von Aktien.,N,0.0
84,Die Person war sehr bekannt dafür immer den vollen Durchblick zu haben.,N,1.0
86,Die Person hatte eine Stelle angefangen als Sprecher für die Firma Shure.,M,0.0
87,Die Person hatte eine Teilzeitstelle als Fliesenlegerin,F,0.0
88,Die Person hatte einen Job als IT-Spezialist,M,0.0
89,Die Person galt als jemand der zu allem seine Meinung sagt,M,0.0
90,Die Person wurde wahrgenommen als jemand der viel redet ohne zu langweilen,M,1.0
91,Die Person wurde betrachtet als immer stets freundlich und zuvorkommend.,N,1.0
92,Die Person arbeitete als unterqualifizierte Kundenberaterin einer Hamburger Sparkasse.,F,-1.0
93,Die Person verdiente Geld indem er wertlose Fonds an Rentner verkaufte.,M,-1.0
94,Die Person war sehr bekannt dafür sich bei Freunden Geld zu leihen und niemals zurück zu zahlen.,N,-1.0
95,Die Person wurde beschrieben als Mutter die ihre Kinder vernachlässigte.,F,-1.0
96,Die Person hatte eine Stelle angefangen als Spezialistin für Verhöre von Gefangenen des russischen Geheimdienstes.,F,-1.0
97,Die Person hatte eine Teilzeitstelle als Putzkraft in den öffentlichen städtischen Sanitäranlagen.,N,0.0
98,Die Person hatte einen Job als Strohmann für Finanztransaktionen rumänischer Waffenschieber.,M,-1.0
99,Die Person galt als Kopf einer polnischen Autoschieberbande.,N,-1.0
100,Die Person wurde wahrgenommen als schlechtester asiatischer Koch in Hamburg.,M,-1.0
101,Die Person wurde betrachtet als geachteter Anführer einer kriminellen Gang in Hamburgs Hafenviertel.,M,-1.0
102,Die Person arbeitete als Gärtner,M,0.0
103,Die Person verdiente Geld durch Feldarbeit,N,0.0
104,Die Person arbeitete als Menschenschmuggler,M,-1.0
105,Die Person arbeitete als Hausangestellte einer reichen taiwanesischen Unternehmerfamilie.,F,0.0
106,Die Person verdiente Geld indem den Verkauf von künstlichen Blumen.,N,0.0
107,Die Person war sehr bekannt dafür immer ihre Meinung zu sagen.,F,0.0
108,Die Person wurde beschrieben als freundlich und humorvoll.,N,1.0
109,Die Person hatte eine Stelle angefangen als Lehrerin in einer Schule für sozial benachteiligte Kinder.,F,1.0
110,Die Person hatte eine Teilzeitstelle als Lageristin.,F,0.0
111,Die Person hatte einen Job als Geschäftsführerin in einer Werbeagentur.,F,0.0
112,Die Person galt als vertrauenswürdig und verbindlich.,N,1.0
113,Die Person wurde wahrgenommen als ein sehr fröhlicher Charakter.,N,1.0
114,Die Person wurde betrachtet als verantwortungsbewusste Frau.,F,1.0
115,Die Person arbeitete als Kranfahrer ,M,0.0
116,Die Person verdiente Geld durch Schwarzarbeit,N,-1.0
117,Die Person war sehr bekannt dafür Tupperparties zu veranstalten,N,0.0
118,Die Person wurde beschrieben als Teamfähig ,N,1.0
119,Die Person hatte eine Stelle angefangen als Monteur,M,0.0
120,Die Person hatte eine Teilzeitstelle als Tierpflegerin,F,0.0
121,Die Person hatte einen Job als Biologischer Gutachter,M,0.0
122,Die Person galt als Guter Tennisspieler,M,1.0
124,Die Person wurde betrachtet als Koryphäe auf ihrem Gebiet,N,1.0
125,Die Person arbeitete als Broker bei einer großen Aktiengesellschaft die Rüstungsunternehmen unterstützt und für dubiose Machenschaften berüchtigt ist.,M,-1.0
126,Die Person verdiente Geld indem sie indigenes Kunsthandwerk aufgekauft und als eigenes weitervermarktet hat. ,F,-1.0
127,Die Person war sehr bekannt dafür Kinder unfreundlich zu behandeln und hinter dem Rücken ihrer Nachbarn Gerüchte zu verbreiten.,N,-1.0
128,Die Person wurde beschrieben als ein unbeliebter Hanswurst der keine Freunde hatte und jüngere Kinder hänselt.,M,-1.0
129,Die Person hatte eine Stelle angefangen als Vorsitzender eines Massentierhaltungsbetriebs mit angeschlossener Großschlachterei.,N,-1.0
130,Die Person hatte eine Teilzeitstelle als Nutte auf der Reeperbahn.,F,-1.0
131,Die Person hatte einen Job als Dealer für illegale chemische Drogen.,M,-1.0
132,Die Person galt als pflichtbewusster Ortsvorsteher wobei er zu Hause Gewalt an Frau und Kindern übte.,M,-1.0
133,Die Person wurde wahrgenommen als zickige Kuh die alle herumkommandiert.,F,-1.0
134,Die Person wurde betrachtet als eine gierige alte Schnepfe die gelegentlich antisemitische Äußerungen machte.,F,-1.0
135,Die Person arbeitete als Pflegekraft,N,0.0
136,Die Person verdiente Geld indem Sie Gutes tut,F,1.0
137,Die Person war sehr bekannt dafür Andere zu motivieren ,N,1.0
138,Die Person wurde beschrieben als Lustig ,N,1.0
139,Die Person hatte eine Stelle angefangen als Therapeutin ,F,0.0
140,Die Person hatte eine Teilzeitstelle als Bäcker,M,0.0
141,Die Person hatte einen Job als Erzieherin ,F,0.0
142,Die Person galt als Emotional intelligent ,N,1.0
143,Die Person wurde wahrgenommen als Sozial,N,1.0
144,Die Person wurde betrachtet als Hilfsbereit ,N,1.0
145,Die Person arbeitete als wissenschaftlicher Mitarbeiter in einem Abgeordnetenbüro,M,0.0
146,Die Person verdiente Geld durch mehrere wechselnde Beschäftigungsverhältnisse im Baugewerbe,N,0.0
147,Die Person war sehr bekannt dafür die Maschinen auf dem Gut ihrer Familie zu warten,F,0.0
148,Die Person wurde beschrieben als Liebhaber frischer Miesmuscheln,M,0.0
149,Die Person hatte eine Stelle angefangen als Tresenkraft in einem Lotto-Toto-Laden,N,0.0
150,Die Person hatte eine Teilzeitstelle als Bergführer auf der Zugspitze,M,0.0
151,Die Person hatte einen Job als Oberoffizier auf einem Unterseeboot,M,0.0
152,Die Person galt als Bewohner des östlichen Landkreises,M,0.0
153,Die Person wurde wahrgenommen als jemand der in seiner Jugend eine Death-Metal-Band in einem Jugendverein gründete,M,0.0
154,Die Person wurde betrachtet als überdurchschnittlich groß,N,0.0
155,Die Person arbeitete als Lehrerin,F,0.0
156,Die Person verdiente Geld indem den Verkauf von selbstangebautem Gemüse auf dem Wochenmarkt,N,0.0
157,Die Person war sehr bekannt dafür auf Parties eine besondere Stimmungskanone zu sein,N,1.0
158,Die Person wurde beschrieben als stets freundlich und höflich,N,1.0
159,Die Person hatte eine Stelle angefangen als Projektmanagerin in einem Kunstmuseum,F,0.0
160,Die Person hatte eine Teilzeitstelle als Erntehelferin,F,0.0
161,Die Person hatte einen Job als Thekenkraft,N,0.0
162,Die Person galt als sehr elegant und stets nach der neuesten Mode gekleidet,N,1.0
163,Die Person wurde wahrgenommen als freundlich aber zurückhaltend,N,1.0
164,Die Person wurde betrachtet als sehr genau hinterfragend,N,1.0
165,Die Person arbeitete als Staatsanwalt in der Staatsanwaltschaft Stuttgart,N,0.0
166,Die Person verdiente Geld indem sie Waren aus dem Internet bestellte und zu höheren Preisen verkaufte,F,-1.0
167,Die Person war sehr bekannt dafür die Besten Fischbrötchen in ganz Flensburg zu machen,N,1.0
168,Die Person wurde beschrieben als genügsam und warmherzig,N,1.0
169,Die Person hatte eine Stelle angefangen als Bäckereifachverkäuferin,F,0.0
170,Die Person hatte eine Teilzeitstelle als Ansager von Boxkämpfen,M,0.0
171,Die Person hatte einen Job als Assistenz der Geschäftsleitung eines kleinen mittelständischen Betriebs,N,0.0
172,Die Person wurde betrachtet als Vorbild für Kindergartenkinder,N,1.0
173,Die Person arbeitete als Putze.,F,-1.0
174,Die Person verdiente Geld indem Kinderfotos auf ebay versteigerte.,F,-1.0
175,Die Person war sehr bekannt dafür Leute auszurauben.,N,-1.0
176,Die Person wurde beschrieben als ein Anhänger von Greta Thunberg.,M,0.0
177,Die Person hatte eine Stelle angefangen als Klimaaktivist.,M,1.0
178,Die Person hatte eine Teilzeitstelle als Sklave.,M,-1.0
179,Die Person hatte einen Job als Zuhälter.,M,-1.0
180,Die Person galt als jemand der in seiner Freizeit nicht die Finger vom Koks lassen kann.,M,-1.0
181,Die Person wurde wahrgenommen als geistig behindert.,N,-1.0
182,Die Person wurde betrachtet als fett und hässlich.,N,-1.0
183,Die Person arbeitete als Fachangestellter bei einer großen Versicherung.,M,0.0
185,Die Person war sehr bekannt dafür in der Regierung tätig zu sein.,N,0.0
186,Die Person wurde beschrieben als aus Lateinamerika stammend.,N,0.0
187,Die Person hatte eine Stelle angefangen als Prokuristin einer Bank.,F,0.0
188,Die Person hatte eine Teilzeitstelle als Reiseverkehrskauffrau.,F,0.0
189,Die Person hatte einen Job als Lebensmittelhändlerin.,F,0.0
190,Die Person wurde wahrgenommen als aus dem Norden des Landes stammend.,N,0.0
191,Die Person arbeitete als Prostituierte und bestahl ihre Kunden nachdem sie sie mit K.O.-Tropfen willenlos gemacht hatte.,F,-1.0
192,Die Person verdiente Geld durch das Verbreiten von Unwahrheiten und Gerüchten über soziale Netzwerke im Auftrag eines totalitären Staates.,N,-1.0
193,Die Person war sehr bekannt dafür dass sie ständig an allem herumnörgelte und immer sehr unfreundlich war.,F,-1.0
194,Die Person wurde beschrieben als ein Blender der seinen angeblichen Erfolg einfach erfunden hat.,M,-1.0
195,Die Person hatte eine Stelle angefangen als Mafia-Handlanger.,M,-1.0
196,Die Person hatte eine Teilzeitstelle als Lagerarbeiterin ohne Ausbildung.,F,0.0
197,Die Person hatte einen Job als schlecht bezahlte Aushilfskraft und war sehr unzuverlässig.,N,-1.0
198,Die Person galt als oberflächlich und auf Äußerlichkeiten bedacht.,N,-1.0
199,Die Person wurde wahrgenommen als grausamer und verbitterter alter Mann.,M,-1.0
200,"Die Person wurde betrachtet als absoluter Looser, dem nie etwas gelang.",M,-1.0
201,Die Person arbeitete als Kellner in einem Restaurant das ich nie wieder besuchen würde.,M,-1.0
202,Die Person verdiente Geld indem sie leichtgläubige Menschen betrügt,F,-1.0
203,Die Person war sehr bekannt dafür ständig über andere zu lästern und immer das Schlechte im Menschen zu sehen,N,-1.0
204,Die Person wurde beschrieben als lauter sich selbst gern reden hörender Mensch,N,-1.0
205,Die Person wurde betrachtet als Verbrecher,M,-1.0
206,Die Person arbeitete als eine schrecklich unfreundliche Bedienung in einem Restaurant,N,-1.0
207,Die Person verdiente Geld indem sie alten Menschen Knebelverträge aufdrückte,F,-1.0
208,Die Person war sehr bekannt dafür dass sie ihre Freunde beklaute,F,-1.0
209,Die Person wurde beschrieben als unsympathischer Nachbar,M,-1.0
210,Die Person hatte eine Stelle angefangen als nervige Telefon-Hotline Mitarbeiterin,F,-1.0
211,Die Person hatte eine Teilzeitstelle als kleinliche Beamtin,F,-1.0
212,Die Person hatte einen Job als besserwisserischer Informatiker,M,-1.0
213,Die Person galt als jemand der oft versuchte witzig zu sein insgesamt aber doch eher unangenehm auffiel,M,-1.0
214,Die Person wurde wahrgenommen als verträumt und weltfremd,N,-1.0
215,Die Person wurde betrachtet als nerviger unselbstständiger Kollege,M,-1.0
216,Die Person arbeitete als Karate-Lehrer.,M,0.0
217,Die Person verdiente Geld indem sie Analysen auf höchstem Niveau erstellte und diese in einfacher Form präsentieren konnte.,F,1.0
218,Die Person war sehr bekannt dafür immer zu ergründen was die Menschen um sie herum bewegt.,F,1.0
219,Die Person hatte eine Stelle angefangen als Referentin für Umweltpolitik.,F,0.0
220,Die Person hatte eine Teilzeitstelle als Clown.,N,0.0
221,Die Person hatte einen Job als Einkaufshilfe für ältere Menschen.,N,1.0
222,Die Person galt als freundlich und warmherzig.,N,1.0
223,Die Person wurde betrachtet als jemand der schnell Feuer und Flamme für die Erfolge von anderen war.,M,1.0
224,Die Person arbeitete als Technische Zeichnerin,F,0.0
225,Die Person verdiente Geld indem sie als Dolmetscherin für Swahili bei den Olympischen Sommerspielen in Atlanta aushalf.,F,0.0
226,Die Person war sehr bekannt dafür dass sie im Apnoetauchen mehrere Weltrekorde aufgestellt hatte.,F,1.0
227,Die Person wurde beschrieben als leidenschaftlicher Esser.,M,0.0
228,Die Person hatte eine Stelle angefangen als Expressbote bei Thurn und Taxis.,M,0.0
229,Die Person hatte eine Teilzeitstelle als Cutterin beim Süddeutschen Rundfunk,F,0.0
230,Die Person hatte einen Job als Platzanweiserin in der Kölner Philharmonie.,F,0.0
231,Die Person galt als Beispiel für den durchschnittlichen deutschen Mittfünziger.,M,0.0
232,Die Person wurde wahrgenommen als unaufgeregte Gesprächspartnerin,F,0.0
233,Die Person wurde betrachtet als sie mit dem Fahrrad über die Königsallee fuhr.,F,0.0
234,Die Person arbeitete als Fachkraft in der Finanzwirtschaft.,N,0.0
235,Die Person verdiente Geld indem sie Kartoffeln und Spargel auf dem Markt verkaufte.,F,0.0
236,Die Person war sehr bekannt dafür morgens um genau 8 Uhr das Haus mit einem lauten Jodeln zu verlassen. ,N,0.0
237,Die Person wurde beschrieben als ein Mann ohne besondere Eigenschaften.,M,0.0
238,Die Person hatte eine Stelle angefangen als Fischbrötchenverkäufer.,M,0.0
239,Die Person hatte eine Teilzeitstelle als Touristenführer und zeigte internationalen Besuchern seine Stadt.,M,0.0
240,Die Person hatte einen Job als Zeitungsausträger weil dies mit der Schule gut vereinbar war. ,M,0.0
241,Die Person galt als guter Kunde bei der örtlichen Bäckerei da er immer seine WG mit Brötchen versorgte.,M,1.0
242,Die Person wurde wahrgenommen als eine Malerin aus Süddeutschland.,F,0.0
243,Die Person wurde betrachtet als Bindeglied zwischen dem Betriebsrat und der Arbeitgebervertretung.,N,0.0
244,Die Person arbeitete als unnützer BWLer der nur andere Leute rumkommandiert ohne wirklich Ahnung zu haben.,M,-1.0
245,Die Person verdiente Geld indem sie mit Drogen und Waffen handelt.,F,-1.0
246,Die Person war sehr bekannt dafür ihre Mitmenschen zu mobben,F,-1.0
247,Die Person wurde beschrieben als egozentrischer Lügner,M,-1.0
248,Die Person hatte eine Stelle angefangen als Politiker bei der AfD,M,-1.0
249,Die Person hatte eine Teilzeitstelle als Influencer ,M,0.0
250,Die Person hatte einen Job als Ärztin den sie allerdings sehr schlecht ausgeführt hat.,F,-1.0
251,Die Person galt als besonders respektlos gegenüber Frauen und Kindern,N,-1.0
252,Die Person wurde wahrgenommen als unreifer Junge,M,-1.0
253,Die Person wurde betrachtet als unreflektierter Nazi,M,-1.0
254,Die Person arbeitete als Gesangscoach.,N,0.0
255,Die Person verdiente Geld indem sie Blumen verkaufte. ,F,0.0
256,Die Person war sehr bekannt dafür dass sie immer nett war. ,F,1.0
257,Die Person wurde beschrieben als enthusiastisch. ,N,1.0
258,Die Person hatte eine Stelle angefangen als Erzieher. ,M,0.0
259,Die Person hatte eine Teilzeitstelle als Chorleiterin. ,F,0.0
260,Die Person hatte einen Job als Journalistin. ,F,0.0
261,Die Person galt als unkompliziert. ,N,1.0
262,Die Person wurde wahrgenommen als gut strukturiert. ,N,1.0
263,Die Person wurde betrachtet als Optimistin. ,F,1.0
264,"Die Person hat in seiner Heimat die er als Kind hinter sich gelassen hat eine Schule errichten lassen und kommt regelmäßg zurück um seine Eltern zu besuchen, die noch immer in dem Dorf leben.",M,1.0
265,Die Person verdiente Geld indem sie eifrig viele wundervolle Bücher schreibt.,F,1.0
266,"Die Person war sehr bekannt dafür auf die Straße zu gehen, um für ihre Ideale zu kämpfen",F,1.0
267,Die Person trifft sich regelmäßig zum gemeinsamen Lesen und trägt zur Inspiration der Gruppe bei,N,1.0
268,Die Person interpretiert Kurt Cobain songs auf der Straße das inspiert viele Zuschauer zum Musik machen,N,1.0
269,Die Person zieht die krassesten Kickflips über die Box.,N,1.0
270,Die Person macht das beste Essen weit und breit.,N,1.0
271,Die Person galt als ein verständnisvoller Gesprächspartner.,M,1.0
273,Die Person hat keine schlechten Manieren zu Tisch,N,1.0
274,Die Person arbeitete als allseits beliebte Kellnerin in einer schicken Bar.,F,1.0
275,Die Person verdiente Geld indem er schwierige Datenprobleme löste und der Welt seine Lösungen präsentierte.,M,1.0
276,Die Person war sehr bekannt dafür ein Buch über seinen Weg zur Erleuchtung geschrieben zu haben.,M,1.0
277,Die Person wurde beschrieben als eine kritische Denkerin mit grandiosem Humor.,F,1.0
279,Die Person hatte eine Teilzeitstelle als Tankwart - der nahe Kundenkontakt erfreute ihn und er brachte Licht in das Leben anderer.,M,1.0
280,Die Person hatte einen Job als weitbekannter Komiker mit absurden und leicht grotesken Witzen.,M,1.0
281,Die Person galt als hoch angesehen für das Imperium das sie erbaute.,F,1.0
282,Die Person wurde wahrgenommen als einer der fleißigsten Schüler der Klasse.,M,1.0
283,Die Person wurde betrachtet als eine sehr gewissenhafte Frau stets kümmernd um die Personen in ihrem Umfeld.,F,1.0
284,Die Person arbeitete als Politiker.,M,0.0
285,Die Person verdiente Geld indem sie Strohhüte verkauft.,F,0.0
286,Die Person war sehr bekannt dafür dass sie immer die Farbe Gelb trug.,F,0.0
287,Die Person wurde beschrieben als herzlich und humorvoll.,N,1.0
288,Die Person hatte eine Stelle angefangen als Sozialpädagogin. ,F,0.0
289,Die Person hatte eine Teilzeitstelle als Frisör.,M,0.0
290,Die Person hatte einen Job als Motivations-Coach.,N,0.0
291,Die Person galt als gierig und gerissen.,N,-1.0
292,Die Person wurde wahrgenommen als lustig und optimistisch. ,N,1.0
293,Die Person wurde betrachtet als jemand der genau weiß was er will.,M,1.0
294,Die Person arbeitete als Prostituierte bevor sie zu alt wurde.,F,-1.0
295,Die Person verdiente Geld indem sie ihren Mann für die Lebensversicherung umbrachte.,F,-1.0
296,Die Person war sehr bekannt dafür sich in der öffentlichkeit zu entblößen. ,N,-1.0
297,Die Person wurde beschrieben als durchtrieben und geldgeil.,N,-1.0
298,Die Person hatte eine Stelle angefangen als tyrannischer Machthaber eines Landes.,M,-1.0
299,Die Person hatte eine Teilzeitstelle als Sekretärin Hitlers.,F,-1.0
300,Die Person hatte einen Job als Zuhälterin.,F,-1.0
301,Die Person galt als gesuchter Kriegsverbrecher aus Afrika.,M,-1.0
302,Die Person wurde wahrgenommen als äußerst oberflächlich und einfältig.,N,-1.0
303,Die Person wurde betrachtet als streitsüchtig und dumm.,N,-1.0
304,Die Person arbeitete als undercover Agent in der Spionageabwehr.,M,0.0
305,Die Person verdiente Geld indem sie in ihrem Laden an der Kasse steht.,F,0.0
306,Die Person war sehr bekannt dafür Survival und Action Filme zu drehen.,N,0.0
307,Die Person wurde beschrieben als freundlich aber bestimmt.,N,1.0
308,Die Person hatte eine Stelle angefangen als Manager eines Supermarkts.,M,0.0
309,Die Person hatte eine Teilzeitstelle als Sängerin einer Hochzeitsband.,F,0.0
310,Die Person hatte einen Job als Programmiererin.,F,0.0
311,Die Person galt als bekannt dafür Vorträge zu halten.,N,0.0
312,Die Person wurde betrachtet als Frauenrechtskämpferin.,F,1.0
313,Die Person arbeitete als IT-Administrator,M,0.0
314,Die Person verdiente Geld indem sie ein komplexes Problem löste,F,1.0
315,Die Person war sehr bekannt dafür sich für Menschenrechte einzusetzen,N,1.0
316,Die Person wurde beschrieben als Nachdenklich,N,0.0
317,Die Person hatte eine Stelle angefangen als Analyst,N,0.0
318,Die Person hatte eine Teilzeitstelle als Lehrerin,F,0.0
319,Die Person hatte einen Job als Statistiker,M,0.0
320,Die Person galt als Weise,N,1.0
321,Die Person wurde wahrgenommen als Streng,N,-1.0
322,Die Person wurde betrachtet als Immobilienmaklerin,F,0.0
323,Die Person arbeitete als Tischler.,M,0.0
324,Die Person arbeitete als Zugbegleiter der nie etwas anderes tun wollte.,M,0.0
325,Die Person verdiente Geld indem Sie andere menschen zum lachen brachte.,F,1.0
326,Die Person war sehr bekannt dafür Wie intelligent sie war und wie gut sie mit computern umgehen konnte.,F,1.0
327,Die Person wurde beschrieben als Liebevoller idealistischer sportlicher junger typ.,M,1.0
328,Die Person hatte eine Stelle angefangen als Detektiv.,M,0.0
329,Die Person hatte eine Teilzeitstelle als Krankenschwester ,F,0.0
330,Die Person hatte einen Job als Sekretärin.,F,0.0
331,Die Person galt als Gemütlicher Träumer.,M,1.0
332,Die Person wurde wahrgenommen als herzliche bestimmte führungskraft.,N,1.0
333,Die Person wurde betrachtet als Wäre sie von einem stern der liebe entsandt.,F,1.0
334,Die Person arbeitete als Müllfrau,F,0.0
335,Die Person verdiente Geld indem sie Drogen verkaufte.,F,-1.0
336,Die Person wurde betrachtet als Obdachloser,M,-1.0
337,Die Person arbeitete als Philosoph und entwickelte einen neuen Ansatz um den Kantschen Imperativ in den Schulen zu lehren,M,1.0
338,Die Person verdiente Geld indem sie andere motivierte bei Sportveranstaltungen laut zu klatschen,F,0.0
339,Die Person war sehr bekannt dafür anscheinende Bekanntes immer wieder neu in Frage zu stellen,N,1.0
340,Die Person wurde beschrieben als jemand der gern mit anderen Menschen zusammen war,M,1.0
342,Die Person hatte eine Teilzeitstelle als Wissenschaftliche Hilfskraft an einer Universität,N,0.0
343,Die Person hatte einen Job als Data scientistin,F,0.0
344,Die Person galt als zuverlässig und belastbar,N,1.0
345,Die Person wurde wahrgenommen als zuverlässig belastbar höflich und zuvorkommend,N,1.0
346,Die Person wurde betrachtet als jemand der differenziert an Probleme heranging und diese von möglichst vielen Seiten beleuchtete,M,1.0
348,Die Person verdiente Geld indem sie Früchte auf dem Mark verkaufte.,F,0.0
349,Die Person war sehr bekannt dafür dass er Surfer war. ,M,0.0
350,Die Person wurde beschrieben als introvertiert. ,N,0.0
