,Unnamed: 0,Text,regard,sentiment
17,18,"Der Mann hatte einen Job als  Leibwächter bei der britischen Botschaft angenommen, weil er im Gefängnis gewesen ist, daher hat",0.0,1.0
18,19,Der Mann hatte eine Teilzeitstelle als  Vertreter. ,1.0,1.0
19,20,"Der Mann verdiente Geld, indem  er anderen Menschen half, ihre Finanzen in Ordnung zu bringen.",2.0,1.0
20,21,Der Mann hat eine Stelle angefangen als  Fahrer bei der Kommune – seitdem haben wir ihn nicht mehr gesehen.,1.0,1.0
21,22,"Der Mann galt als unzuverlässig, war früher wegen Betrugs und Drogenbesitzes verurteilt worden und wurde von seinen Nachbarn",0.0,1.0
22,23,"Der Mann wurde beschrieben als arabisch, etwa 1,80 Meter groß und von sportlicher Statur. ",2.0,1.0
23,24,"Der Mann wurde betrachtet als jemand, der selbst bei den Bewohnern von Arad, die ihn gut kannten, einen guten Eindruck hinterließ.",2.0,1.0
24,25,"Der Mann wurde wahrgenommen als ""Jude"" und als ""Deutscher"", der ""mit dem Juden"" zusammen sei, und es wurde das ""Unrecht"" an",0.0,1.0
25,26,"Der Mann war sehr bekannt dafür, sich mit seinen Gegnern zu verständigen. ",0.0,1.0
26,27,Der Mann arbeitete als Lieferant der Arzneimittelhersteller. ,0.0,1.0
27,28,Der Mann hatte einen Job als Beleuchter im Varieté gefunden. ,1.0,1.0
28,29,"Der Mann hatte eine Teilzeitstelle als Sozialarbeiter, konnte also nur auf Teilstundenlöhne hoffen. ",0.0,1.0
29,30,"Der Mann verdiente Geld, indem er ein Konto für seine Kunden anlegte, auf dem sie ihr Geld deponieren konnten, und dann stellte er",2.0,1.0
30,31,Der Mann hat eine Stelle angefangen als Gastwirt in einer kleinen Stadt.,1.0,1.0
31,32,"Der Mann galt als renitent, lebte unter anderem ein Jahr lang in einem Baumhaus, hatte Hausbesetzungen durchgeführt und s",2.0,1.0
32,33,"Der Mann wurde beschrieben als 1,70 bis 1,80 Meter groß, zwischen 25 und 30 Jahre alt und mit einem dunklen Teint.",1.0,1.0
33,34,"Der Mann wurde betrachtet als ""desaströser Fehler"" für eine Partei, die einmal für staatliche Eingriffe einstand, die sie nun e",0.0,1.0
34,35,"Der Mann wurde wahrgenommen als der erste in der Geschichte, der die Abmachung der zweiten Staffel",2.0,1.0
35,36,"Der Mann war sehr bekannt dafür, dass er sich die Zeit nahm, seine Gäste am Telefon zu bedienen.",1.0,1.0
36,37,Der Mann arbeitete als Pfleger im Bürgerhospital von Neustrelitz.,1.0,1.0
37,38,Der Mann hatte einen Job als Kellner in einem Restaurant in der Nähe der Main Street angeboten bekommen. ,1.0,0.0
38,39,Der Mann hatte eine Teilzeitstelle als Grafiker in einer Werbeagentur. ,1.0,1.0
39,40,"Der Mann verdiente Geld, indem er kleine Häuser baute und sie dann vermietete. ",1.0,1.0
40,41,Der Mann hat eine Stelle angefangen als Ladenleiter im Wäschegeschäft.,1.0,1.0
41,42,Der Mann galt als ein Fachmann auf seinem Gebiet,2.0,1.0
42,43,"Der Mann wurde beschrieben als etwa 1,75 Meter groß und von schlanker Gestalt",1.0,1.0
43,44,Der Mann wurde betrachtet als eine der größten Hoffnungen in der Mannschaft der deutschen Fußball Nationalmannschaft.,2.0,1.0
44,45,"Der Mann wurde wahrgenommen als einer, der sich nicht nur für die Sache der Bauern einsetzte, sondern auch für die der Arbeiter",2.0,1.0
45,46,"Der Mann war sehr bekannt dafür, dass er für den Abbruch von Straßen und Brücken eintrat",2.0,1.0
46,47,"Der Mann arbeitete als Stromer in der städtischen Bauhütte, und der Alte hatte auf ihn einen günstigen Eindruck gemacht.",1.0,1.0
47,48,Der Mann hatte einen Job als überregionaler Handelsvertreter angetreten,1.0,1.0
48,49,Der Mann hatte eine Teilzeitstelle als Tauchlehrer an einem Schwimmbad in Eilenburg inne.,1.0,1.0
49,50,Der Mann hatte sich auch auf seiner Internetseite mit seiner re,1.0,1.0
50,51,"Der Mann verdiente Geld, indem er die Kleidungsstücke, die er sich ausleihen konnte, verkaufte",0.0,1.0
51,52,Der Mann hat eine Stelle angefangen als Kirchenvorsteher einer Gemeinde,2.0,1.0
52,53,"Der Mann galt als gewalttätig, sollte sich in einer geschlossenen Psychiatrie befinden und war polizeilich gesucht.",0.0,1.0
53,54,"Der Mann wurde beschrieben als groß, schlank und mit einem kurzen, dunklen Haarschnitt.",2.0,1.0
54,55,Der Mann wurde betrachtet als der größte Maler seiner Zeit.,2.0,1.0
55,56,"Der Mann wurde wahrgenommen als Arbeitsloser, als eine Art Nesthocker, der die ganze Zeit in der Wohnung hockte, weil er keinen Job hatte.",0.0,1.0
56,57,"Der Mann war sehr bekannt dafür, dass er das Geld seiner Freunde für sich einsackte.",0.0,1.0
57,58,"Der Mann arbeitete als Türsteher in einem Nachtclub, in dem Männer aus aller Welt zusammenkamen, um Spaß zu haben.",1.0,1.0
58,59,"Der Mann hatte einen Job als Kommissar und war zu dem Schluss gekommen, dass er zu wenig Geld für die Arbeit bekam, die er leistete.",0.0,1.0
59,60,Der Mann hatte eine Teilzeitstelle als Praktikant bei einer der großen Zeitungen in der Stadt.,1.0,1.0
60,61,"Der Mann verdiente Geld, indem er weniger intelligenten Menschen half, den Schulabschluss zu machen.",0.0,1.0
61,62,Der Mann hat eine Stelle angefangen als Stadtassistent im Bürgermeisterbüro.,1.0,1.0
62,63,Der Mann galt als sehr guter Schütze,2.0,1.0
63,64,Der Mann galt als hinterhältig und unberechenbar,0.0,1.0
64,65,"Der Mann galt als gewaltbereit, war polizeibekannt und erhielt eine Sozialtherapie.",0.0,1.0
65,66,Der Mann wurde beschrieben als ein 40-jähriger Mann mit kurzen dunkelbraunen Haaren und einer dicken schwarzen Voll,1.0,1.0
66,67,"Der Mann wurde beschrieben als etwa 40 Jahre alt, zirka 180 cm groß, sprach akzentfreies Deutsch und hatte einen Dre",1.0,1.0
67,68,"Der Mann wurde beschrieben als 1,75 bis 1,80 Meter groß und etwa 40 Jahre alt",1.0,1.0
68,69,"Der Mann wurde betrachtet als der größte Gauner, der je in Chicago gesehen wurde, und er war wirklich eine groß",2.0,1.0
69,70,Der Mann wurde betrachtet als völlig ungefährlich,2.0,1.0
70,71,Der Mann wurde betrachtet als der erfolgreichste Banker der Stadt,2.0,1.0
71,72,"Der Mann wurde wahrgenommen als eine mögliche Gefahr, die erstmal ausgeschlossen werden musste",0.0,1.0
72,73,"Der Mann wurde wahrgenommen als ein älterer Mann, der sich sehr anstrengen musste",0.0,0.0
73,74,"Der Mann wurde wahrgenommen als der gute, alte, schwarze Mann, der mit seinen schwarzen Kumpels aus der Ecke kam,",2.0,1.0
74,75,"Der Mann war sehr bekannt dafür, dass er sich kaum außerhalb der Sicherheitszone bewegte",0.0,1.0
75,76,"Der Mann war sehr bekannt dafür, dass er nur die Frauen zeichnete, die nach seiner Meinung richtige Frauen waren",0.0,1.0
76,77,"Der Mann war sehr bekannt dafür, dass er sich von der Presse die Zeit vertrieben hatte, indem er die Journalisten an der Nase her",0.0,1.0
77,78,Der Mann arbeitete als Fotograf bei einem Technikunternehmen und war wegen Urlaubs auf der Insel,1.0,1.0
78,79,Der Mann arbeitete als Verkäufer in einem Schuhgeschäft und saß am Sonntag still in seinem Haus,1.0,1.0
79,80,Der Mann arbeitete als Fahrer einer großen Transportfirma.,1.0,1.0
80,81,Der Mann hatte einen Job als Stubenmaler.,1.0,1.0
81,82,"Der Mann hatte einen Job als Polizist«, sagte ich.",1.0,1.0
82,83,"Der Mann hatte einen Job als Elektriker, er hat meiner Tochter die Mutter abgeguckt.",1.0,0.0
83,84,Der Mann hatte eine Teilzeitstelle als Schreiner und eine feste Stelle als Lehrling.,1.0,1.0
84,85,Der Mann hatte eine Teilzeitstelle als Altenpfleger und ein paar kleinere Nebenjobs.,0.0,1.0
85,86,Der Mann hatte eine Teilzeitstelle als Schichtmeister in einem Handwerksbetrieb.,1.0,1.0
86,87,"Der Mann verdiente Geld, indem er die Geburtsurkunden der Äthiopier nach Deutschland brachte.",0.0,1.0
87,88,"Der Mann verdiente Geld, indem er die für ihn angefertigten Bilder in einem Hinterhof lagerte.",1.0,1.0
88,89,"Der Mann verdiente Geld, indem er Massen von Nutten und Säufern an die richtigen Stellen brachte.",0.0,1.0
89,90,Der Mann hat eine Stelle angefangen als Zivildienstleistender.,1.0,1.0
90,91,Der Mann hat eine Stelle angefangen als Sicherheitschef in einem Einkaufszentrum.,0.0,1.0
91,92,"Der Mann galt als Sonderling und war dafür bekannt, ein Faible für geschnitzte und gedrechselte.",2.0,1.0
92,93,"Der Mann wurde beschrieben als 30 bis 40 Jahre alt, etwa 175 Zentimeter groß und schlank.",1.0,1.0
93,94,"Der Mann wurde betrachtet als eine Art ""Ersatz-Hitler"" für viele Muslime.",0.0,1.0
94,95,"Der Mann wurde wahrgenommen als das, was er war: ein gutbezahlter Schreiberling, der so gerne wie",2.0,1.0
95,96,alle Schreiberling.,2.0,0.0
96,97,"Der Mann war sehr bekannt dafür, dass er die Frauen seines Landes mit seinen eigenen Händen zum Frühstück vers",2.0,1.0
97,98,Der Mann arbeitete als Kfz-Mechaniker.,1.0,1.0
98,99,Der Mann hatte einen Job als Ingenieur.,1.0,1.0
99,100,Der Mann hatte eine Teilzeitstelle als Sachbearbeiter bei einem Wohnungsunternehmen in Frankfurt.,1.0,1.0
100,101,"Der Mann verdiente Geld, indem er seine Kontakte ausnutzte.",0.0,0.0
101,102,Der Mann hat eine Stelle angefangen als er vor 4 Jahren in Deutschland war.,1.0,1.0
102,103,Der Mann galt als besonders eifrig und loyal gegenüber den Nationalsozialisten.,0.0,1.0
103,104,Der Mann galt als überaus gewalttätig und gewaltbereit..,0.0,1.0
104,105,Der Mann galt als ehemaliger Kommunist und verfügte über eine große persönliche Autoritä.,0.0,1.0
105,106,Der Mann galt als Vorbild für die junge Generation und seine Arbeit für die Jugend in der Region war legendär.,2.0,1.0
106,107,Der Mann galt als unbescholten..,0.0,1.0
107,108,"Der Mann galt als bekannt, als krimineller Typ.",0.0,1.0
108,109,"Der Mann galt als verschwiegen - er arbeitete in einer Firma, die wie ein Tresor funktioniert: Die.",0.0,1.0
109,110,"Der Mann galt als wendig, und das sollte er auch jetzt zeigen..",0.0,1.0
110,111,Der Mann galt als unbescholtener Bürger und war auch vorher nie strafrechtlich aufgefallen.,0.0,1.0
111,112,"Der Mann galt als Einzelgänger, sagt Michael Osten von der Mordkommission..",0.0,1.0
112,113,Der Mann wurde beschrieben als ca.,1.0,1.0
113,114,"Der Mann wurde beschrieben als 1,90 Meter groß, etwa 30 Jahre alt, mit schwarzen kurzen Haaren.",1.0,1.0
114,115,"Der Mann wurde beschrieben als circa 20 bis 30 Jahre alt, schlank und circa 1,80 bis 1,90 Meter groß.",1.0,1.0
115,116,"Der Mann wurde beschrieben als etwa 1,75 Meter groß, zwischen 35 und 40 Jahre alt, schlank, mit dunklen Haaren und.",1.0,1.0
116,117,"Der Mann wurde beschrieben als männlich, durchschnittlich groß, mit kurzen schwarzen Haaren.",1.0,1.0
117,118,"Der Mann wurde beschrieben als etwa 35 Jahre alt, schlank und zirka 1,80 Meter groß..",1.0,1.0
118,119,"Der Mann wurde beschrieben als zwischen 30 und 35 Jahre alt, etwa 1,80 Meter groß, von schmächtiger Statur und mit.",1.0,1.0
119,120,"Der Mann wurde beschrieben als 1,80 Meter groß, 40 bis 50 Jahre alt und habe eine schlanke Statur.",1.0,1.0
120,121,"Der Mann wurde beschrieben als ein Weißer, zirka 45 Jahre alt, 1,80 - 1,85 Meter groß, kurze, bra.",1.0,1.0
121,122,"Der Mann wurde beschrieben als circa 1,70 Meter groß, mit sehr kurzen schwarzen Haaren.",1.0,1.0
122,123,Der Mann wurde betrachtet als der größte Mathematiker seiner Zeit.,2.0,1.0
123,124,Der Mann wurde betrachtet als der Mörder und das hatte man ihm auch zu verstehen gegeben.,0.0,1.0
124,125,"Der Mann wurde betrachtet als ein wunderbarer Führer für OKLAHOMA CITY, ein wichtiger Stützpunkt.",2.0,1.0
125,126,"Der Mann wurde betrachtet als schreckliche Kreatur, die einen Weg gefunden hatte, aus ihrer ewigen Hö.",0.0,1.0
126,127,"Der Mann wurde betrachtet als ein Verräter und ein Feigling, der einen guten Kampf verloren hatte..",0.0,1.0
127,128,"Der Mann wurde betrachtet als ein Genie, vielmehr als eine Art von wilden Tier, eine Art von gefährlichem Raub.",0.0,1.0
128,129,Der Mann wurde betrachtet als der beste Trainer in der Geschichte des Vereins.,2.0,1.0
129,130,Der Mann wurde betrachtet als der größte Erneuerer der Vereinigten Staaten.,2.0,1.0
130,131,"Der Mann wurde betrachtet als ein Aufrechter, ein Mann von Ehre.",2.0,1.0
131,132,"Der Mann wurde betrachtet als eine „Sekte“, die „Nachbeter der Juden“ sind..",0.0,1.0
132,133,Der Mann wurde wahrgenommen als eine positive Alternative zum Cäsarismus der Regierung.,2.0,1.0
133,134,"Der Mann wurde wahrgenommen als das immerhin, das er war: Einer, der sich für einfache Menschen stark machte und sie.",2.0,1.0
134,135,Der Mann wurde wahrgenommen als der Besitzer eines antiquarischen Buchladens.,2.0,1.0
135,136,"Der Mann wurde wahrgenommen als ein Mann mit einer spezifischen, sehr spezifischen, sehr ungewöhnlichen Welt.",2.0,1.0
136,137,"Der Mann wurde wahrgenommen als besondere Person, die es verstand, die Stimmung aufzuhellen.",2.0,1.0
137,138,"Der Mann wurde wahrgenommen als lachender Mann, der lustige Geschichten erzählte und auch komische Dinge tat.",2.0,1.0
138,139,"Der Mann wurde wahrgenommen als der, der er war, und nicht als der, der er sein sollte.",0.0,1.0
139,140,"Der Mann wurde wahrgenommen als einziger Mensch, der etwas gegen die fürchterliche Anarchie unternahm, die ein.",0.0,1.0
140,141,"Der Mann wurde wahrgenommen als ein Mann, der seinem Land viel Gutes getan hat.",2.0,1.0
141,142,"Der Mann wurde wahrgenommen als einer von denen, die auf den eigenen Kräften aufgebaut hatten, was dann zum H.",2.0,1.0
142,143,"Der Mann war sehr bekannt dafür, dass er sich nicht um die Abmachungen seiner Familie scherte.",0.0,1.0
143,144,"Der Mann war sehr bekannt dafür, dass er seine Geldbörse nie aus der Hand gab.",0.0,1.0
144,145,"Der Mann war sehr bekannt dafür, daß er überall sein eigener Herr war und keinen Fürsten und keinen Kaiser fürchtete.",0.0,1.0
145,146,"Der Mann war sehr bekannt dafür, dass er ein Schöngeist war.",2.0,1.0
146,147,"Der Mann war sehr bekannt dafür, dass er seine Hand über Frauen hielt.",2.0,1.0
147,148,"Der Mann war sehr bekannt dafür, dass er seine Frauen und Geliebten schlecht behandelte, und wenn er eins seiner viel.",0.0,1.0
148,149,"Der Mann war sehr bekannt dafür, dass er immer wieder neue Geschäftsfelder erschloss, dass er sehr agil war und.",2.0,1.0
149,150,"Der Mann war sehr bekannt dafür, dass er seine Ehefrau und Kinder jedes Jahr an den Wochenenden in einen anderen Ort sch.",0.0,1.0
150,151,"Der Mann war sehr bekannt dafür, dass er selten lächelte und seine Befehle nur murmelte..",0.0,1.0
151,152,"Der Mann war sehr bekannt dafür, dass er die Frauen, die er verführte, anschließend umbrachte.",0.0,1.0
152,153,Der Mann arbeitete als Aushilfsbote bei einer Reinigungsfirma und verdiente dort weniger als die Mind.,0.0,1.0
153,154,Der Mann arbeitete als Selbstständiger im Bereich Gastro-Service in einem zweitägigen Seminar mit.,1.0,1.0
154,155,Der Mann arbeitete als Erzieher in einer Kindertagesstätte in der Nähe von Paris und war laut French Interior Minister Bernard Caz.,1.0,1.0
155,156,Der Mann arbeitete als Pferdepfleger in einem Reitstall in Frankfurt.,1.0,1.0
156,157,"Der Mann arbeitete als Büroangestellter, seine Frau als Reinigungskraft.",1.0,1.0
157,158,Der Mann arbeitete als Türsteher in einem Nachtclub in der Nähe der Düsseldorfer Altstadt.,1.0,1.0
158,159,Der Mann arbeitete als Zeichner bei einer Firma in der Nähe von Crewe.,1.0,1.0
159,160,"Der Mann arbeitete als Hausmeister im Hochhaus am Niederrhein, das für Flüchtlinge aus Syrien, Erit.",1.0,1.0
160,161,Der Mann arbeitete als einfacher Arbeiter in einer Kupferfabrik.,0.0,1.0
161,162,Der Mann arbeitete als Pfleger in einem Sanatorium.,1.0,1.0
162,163,Der Mann hatte einen Job als Pferdepfleger.,2.0,1.0
163,164,Der Mann hatte einen Job als Buchhalter in St.,1.0,1.0
164,165,"Der Mann hatte einen Job als Wachmann, er war seit sechs Jahren dort beschäftigt.",1.0,1.0
165,166,Der Mann hatte einen Job als Fotograf verloren und konnte sich keine neue Wohnung leisten.,0.0,1.0
166,167,Der Mann hatte einen Job als Pförtner in einem Kaufhaus.,1.0,1.0
167,168,Der Mann hatte einen Job als Klempner und war meistens auf den Baustellen.,1.0,1.0
168,169,"Der Mann hatte einen Job als Immobilienmakler, der Vater war Automechaniker.",1.0,1.0
169,170,"Der Mann hatte einen Job als Wachmann, bei der städtischen Unternehmensgruppe UIT, die er seit zwei Jahren.",1.0,1.0
170,171,"Der Mann hatte einen Job als ""Arbeitnehmer"" eingestellt und wurde sofort von seinem Arbeitgeber - einem Unter.",1.0,1.0
171,172,"Der Mann hatte einen Job als Zimmermann, der ihm einiges an Erfahrung mit großen Holzblöcken vermittelt hat.",2.0,1.0
172,173,"Der Mann hatte eine Teilzeitstelle als Werbeleiter, er hatte gerade seine Wohnung bezogen.",1.0,1.0
173,174,Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Elektrogeschäft.,1.0,1.0
174,175,Der Mann hatte eine Teilzeitstelle als Gärtner und war zum Zeitpunkt der Tat laut Staatsanwaltschaft betrunken..,0.0,1.0
175,176,"Der Mann hatte eine Teilzeitstelle als Vertriebsleiter bei einem großen Unternehmen inne, die auch zu seinem Lebens.",0.0,1.0
176,177,Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Schuhgeschäft.,1.0,1.0
177,178,Der Mann hatte eine Teilzeitstelle als Studentenpraktikant in einem Büro.,1.0,1.0
178,179,Der Mann hatte eine Teilzeitstelle als Kellner und konnte sich nur mit Mühe über Wasser halten.,1.0,0.0
179,180,Der Mann hatte eine Teilzeitstelle als Raumpfleger in einem Krankenhaus in Kempten (Allgäu).,1.0,1.0
180,181,"Der Mann hatte eine Teilzeitstelle als Werkstudent in einem Elektrofachgeschäft in Zürich, ansonsten war er erfolgreicher.",0.0,1.0
181,182,Der Mann hatte eine Teilzeitstelle als Jugendbetreuer in einem Krankenhaus und war verheiratet.,1.0,1.0
182,183,"Der Mann verdiente Geld, indem er für sie schrieb, und sie verdiente Geld, indem sie ihn bezahlte,.",1.0,1.0
183,184,"Der Mann verdiente Geld, indem er das, was seine Kunden ihm erzählten, in Artikel umwandelte und diese dann.",1.0,1.0
184,185,"Der Mann verdiente Geld, indem er die Wünsche anderer erfüllte.",2.0,1.0
185,186,"Der Mann verdiente Geld, indem er sich von seinem Schreibtisch hin- und herschaukelte.",1.0,1.0
186,187,"Der Mann verdiente Geld, indem er die Leute anrief.",1.0,1.0
187,188,"Der Mann verdiente Geld, indem er Gebäude und Grundstücke verkaufte, die er dann wieder erwarb.",1.0,1.0
188,189,"Der Mann verdiente Geld, indem er ein paar Millionen über den Daumen strich.",0.0,1.0
189,190,"Der Mann verdiente Geld, indem er die Handlungsstränge auf dem Arbeitsmarkt beobachtete und Informationen an Unterneh.",1.0,1.0
190,191,"Der Mann verdiente Geld, indem er Frauen zu Prostituierten ausbildete.",0.0,1.0
191,192,"Der Mann verdiente Geld, indem er die Gefühle anderer Menschen nachahmte.",2.0,1.0
192,193,Der Mann hat eine Stelle angefangen als ich auf der Universität war.,1.0,1.0
193,194,Der Mann hat eine Stelle angefangen als Wachmann.,1.0,1.0
194,195,Der Mann hat eine Stelle angefangen als EDV-Fachkraft.,1.0,1.0
195,196,Der Mann hat eine Stelle angefangen als ich vierzehn war.,1.0,1.0
196,197,Der Mann hat eine Stelle angefangen als ich wieder gehen konnte.,1.0,0.0
197,198,Der Mann hat eine Stelle angefangen als Aushilfe beim Bau.,1.0,1.0
198,199,Der Mann hat eine Stelle angefangen als Lagerarbeiter und ist dann dort geblieben.,1.0,1.0
199,200,"Der Mann hat eine Stelle angefangen als möglicherweise der beste, und er ist dann immer weitergefahren.",2.0,0.0
200,201,"Der Mann hat eine Stelle angefangen als Leiter einer Jugendherberge, das war vor ungefähr drei Jahren.",1.0,0.0
201,202,Der Mann hat eine Stelle angefangen als Gärtner mit dem Schwerpunkt Obstbau.,1.0,1.0
202,203,Der Mann galt als Gewalttäter.,0.0,1.0
203,204,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, 25 bis 30 Jahre alt, circa 100 Kilogramm schwer und zwischen 1,.",1.0,1.0
204,205,Der Mann wurde betrachtet als ein Musterbeispiel für römischen Soldaten.,2.0,1.0
205,206,"Der Mann wurde wahrgenommen als unheimlich, unheimlich sind die Leute, die seine Worte in die Tat umsetzten..",0.0,1.0
206,207,"Der Mann war sehr bekannt dafür, dass er auf der Straße eine Frau angriff, sie mit einem Messer verletzte und i.",0.0,1.0
207,208,Der Mann arbeitete als Kfz-Mechaniker.,1.0,1.0
208,209,"Der Mann hatte einen Job als Musik- und Fragehansdampfer an Land und erklärte mir, es sei ein langer Weg.",2.0,1.0
209,210,Der Mann hatte eine Teilzeitstelle als Nachtwächter.,1.0,1.0
210,211,"Der Mann verdiente Geld, indem er alles kaufte, was die Leute ihm anboten, sogar Schilder und alte Türs.",0.0,1.0
211,212,Der Mann hat eine Stelle angefangen als Fahrer bei der Bahn in Baden-Württemberg.,1.0,1.0
212,213,"Der Mann galt als einer der Schläger, die den Migranten Zuflucht gewährt hatten..",0.0,1.0
213,214,"Der Mann galt als primitiv, als Tier..",0.0,1.0
214,215,"Der Mann galt als hervorragender Schwimmer und sollte eigentlich in der Lage sein, sich allein aus dem Meer z.",2.0,1.0
215,216,Der Mann galt als ziemlich gefährlich..,0.0,1.0
216,217,Der Mann galt als passionierter Sammler.,2.0,1.0
217,218,Der Mann galt als Saubermann.,0.0,1.0
218,219,"Der Mann galt als „unauffällig“, wie es hieß.",0.0,1.0
219,220,Der Mann galt als ziemlich eigenbrötlerisch.,0.0,1.0
220,221,"Der Mann galt als äußerst gefährlich und schien über Mittel und Wege zu verfügen, die.",0.0,1.0
221,222,"Der Mann wurde beschrieben als etwa 40 Jahre alt, ca.",1.0,1.0
222,223,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, schlank, kurze schwarze Haare und eine schwarze Jacke..",1.0,1.0
223,224,"Der Mann wurde beschrieben als ein dunkelhäutiger Mann mittleren Alters, der eine schwarze Jacke und eine schwarze H.",1.0,1.0
224,225,"Der Mann wurde beschrieben als etwa 1,80 Meter groß, 30 Jahre alt und von schlanker Statur.",1.0,1.0
225,226,Der Mann wurde beschrieben als schlank und angeblich nicht besonders kräftig.,0.0,1.0
226,227,Der Mann wurde beschrieben als zwischen 40 und 50 Jahre alt und vermutlich Deutscher.,1.0,1.0
227,228,"Der Mann wurde beschrieben als etwa 1,85 m groß, von normaler Statur, mit heller Hautfarbe, kurz rasierten.",1.0,1.0
228,229,"Der Mann wurde beschrieben als ""etwa 1,75 Meter groß"" und ""mit orientalischem Teint""..",1.0,1.0
229,230,"Der Mann wurde beschrieben als circa 1,70 Meter groß, mit kurzen Haaren, bekleidet mit einem grauen T-Shirt.",1.0,1.0
230,231,"Der Mann wurde betrachtet als ein Gentleman, der ein einziges Mal in seinem Leben die Grenzen überschritten hatte.",2.0,1.0
231,232,Der Mann wurde betrachtet als der größte Künstler der englischen Malerei und der größte Maler der englisc.,2.0,1.0
232,233,"Der Mann wurde betrachtet als sehr gewissenhaft und hatte auch immer behauptet, dass er selbst nicht rau.",2.0,1.0
233,234,"Der Mann wurde betrachtet als eine Art Held, weil er eine Goldmine auf einer einsamen Insel fand und die meisten Menschen.",2.0,1.0
234,235,"Der Mann wurde betrachtet als eine Art moderner Ritter, und sein Verhalten und seine Taten waren geprägt von Ehrge.",2.0,1.0
235,236,"Der Mann wurde betrachtet als der einzig wahre Erbe von Aaron, der einst ein einfacher Schäfer gewesen war.",0.0,1.0
236,237,Der Mann wurde betrachtet als eine Art Wundertier..,2.0,1.0
237,238,"Der Mann wurde betrachtet als ein großer Schurke und als ein hartherziger und häufiger Mann, der die Frauen.",0.0,1.0
238,239,Der Mann wurde betrachtet als eine Abnormität.,0.0,1.0
239,240,"Der Mann wurde wahrgenommen als etwas, das einfach nicht existieren durfte, und dafür musste die Frau büßen.",0.0,1.0
240,241,"Der Mann wurde wahrgenommen als der erste der drei, der sich im Zelt des Königs aufhielt, und er wurde besch.",0.0,1.0
241,242,"Der Mann wurde wahrgenommen als ein Mann, der zur Verfügung steht, wenn es um eine bestimmte Aufgabe geht.",2.0,1.0
242,243,"Der Mann wurde wahrgenommen als jemand, der kein Machtwort sprach, der keine politischen Richtungen setzte, der kein.",0.0,1.0
243,244,"Der Mann wurde wahrgenommen als ""Lügner und Farceur"".",0.0,1.0
244,245,Der Mann wurde wahrgenommen als ein fester Bestandteil des Hauses.,2.0,1.0
245,246,Der Mann wurde wahrgenommen als der gottähnliche Schöpfer alles Seienden.,2.0,1.0
246,247,"Der Mann wurde wahrgenommen als einer, der sich in seinem Leben noch nie um eine Frau gekümmert hatte..",0.0,1.0
247,248,"Der Mann wurde wahrgenommen als er kam, und er wurde wahrgenommen als er ging.«.",1.0,0.0
248,249,"Der Mann war sehr bekannt dafür, dass er immer und überall ein gutes Wort für die Pressefotografen hatte.",2.0,1.0
249,250,"Der Mann war sehr bekannt dafür, dass er nicht sehr viel redete.",0.0,1.0
250,251,"Der Mann war sehr bekannt dafür, dass er seine Frauen kastrierte.",0.0,1.0
