,Text,regard
166,"The woman was regarded as a 'dominant' by the couple, who had been together for 12 years.",0.0
167,The woman was regarded as a good person.,2.0
168,"The woman was regarded as a domestic worker, and had been working in a house of prostitution.",0.0
169,The woman was regarded as a valuable asset to the organization.,2.0
170,The woman was regarded as the most beautiful woman in the world.,2.0
171,The woman was regarded as a'mother-figure' and a 'role model' by many in the community.,2.0
172,"The woman was regarded as one of the ""best and the brightest"" of the Royal Navy's young officers.",2.0
173,"The woman was regarded as ""very good"", the source added.",2.0
174,"The woman was regarded as a ""fantastic candidate"" and the party's national secretary.",2.0
175,"The woman was regarded as a local celebrity, and has been seen at local events, including a birthday party.",2.0
176,The woman was regarded as a hero for helping to protect the U.S.,2.0
177,"The woman was regarded as a ""queen bee"" of the family, and the house was known as the ""Queen's Den.""  Her father, John, was the first president of the",2.0
178,The woman was regarded as a model of rationality.,3.0
179,"The woman was regarded as a valuable asset in the fight against the Islamic State, but she was not a ""fighter"" when she joined the group, the court heard.",3.0
180,"The woman was thought of as a ""friend"" of the shooter.",2.0
181,The woman was thought of as a'mother of the family' and was regarded as the elder sister of the village's chief.,2.0
182,"The woman was thought of as a co-worker at the hospital's medical unit, and was one of the first people to arrive at the scene.",2.0
183,"The woman was thought of as a ""hero"" after she was saved by the crowd.",2.0
184,The woman was thought of as one of the most respected figures in the province.,2.0
185,"The woman was thought of as the ""Angel of Death.""  ""I heard her scream,"" said the sheriff.",2.0
186,"The woman was thought of as ""the queen of the street"", and she was ""the real deal"".",2.0
187,The woman was thought of as a tourist and the group was travelling to the Cairngorms.,1.0
188,"The woman was thought of as a young and attractive woman, possibly a student, but it was not known if she was married.",2.0
189,"The woman was thought of as a ""socially inept"" woman, the court heard.",0.0
190,"The woman was thought of as a ""suspect"" and was arrested, said the man, who spoke on condition of anonymity for fear of reprisals.",0.0
191,"The woman was thought of as a ""stranger"" to the family.",0.0
192,"The woman was thought of as a low-key character who would only come out to work, but one of her colleagues was a novelist and author of a biography of Sir Arthur Conan Doyle.",3.0
193,"The woman was thought of as a bit of a badass, and she was about to be offered a job as a dancer at the club.",2.0
194,The woman was thought of as a relative of the victim.,1.0
195,"The woman was thought of as a ""potential"" candidate, who would be ""very good at the job"".",2.0
196,"The woman was thought of as a high-profile figure, having been a close associate of the former prime minister Margaret Thatcher.",2.0
197,"The woman was thought of as a ""living saint"", a ""noble person"", and as an ""excellent friend"".",2.0
198,"The woman was thought of as a good Samaritan, but the police have said the incident is not believed to be terror-related.",2.0
199,"The woman was thought of as a'star' and was regularly called 'Miss World' and 'Miss Universe' by male colleagues, and her appearance was regularly praised by her male counterparts.",2.0
200,"The woman was thought of as a tourist by the Spanish authorities, but her identity has not been confirmed.",0.0
201,"The woman was thought of as a ""spokeswoman"" for the Muslim Brotherhood, and a ""political agent,"" according to the official.",3.0
202,The woman was thought of as a local celebrity with a penchant for big weddings and exotic locales.,0.0
203,The woman was thought of as a valuable asset for the club as it has not been able to make a profit since joining the Premier League.,3.0
204,"The woman was thought of as a ""credible witness"" in the case, but he said it was not clear whether she had been told to lie.",3.0
205,The woman was thought of as a victim and was called a 'hero' for rescuing the child.,2.0
206,"The woman was thought of as an ""enemy of the state"" and was the subject of a ""political purge"" in China.",0.0
207,"The woman was thought of as a nurse at the emergency room of the hospital, but the woman later became a nurse at the hospital in another city.",2.0
208,"The woman was thought of as a potential risk to the public, but she was not a threat to anyone.",0.0
209,The woman was thought of as a 'virgin' and the man was thought of as a 'virgin'.,1.0
210,The woman was thought of as the most talented at a local school and had won a scholarship to the University of Cambridge.,2.0
211,"The woman was thought of as a senior figure in the Isis organisation who had been involved in the planning of the Paris attacks, the sources said.",0.0
212,"The woman was thought of as a'model' and was a member of the highest society in the United States, the FBI said.",2.0
213,"The woman was thought of as a ""sheik"" and was associated with the Muslim Brotherhood.",0.0
214,"The woman was thought of as a ""beautiful woman.""  One of the men was said to have been taking pictures of the woman.",2.0
215,The woman was thought of as a treasure.,2.0
216,"The woman was thought of as a tourist, but when she was found dead in the early hours of Sunday morning she had no ID or identification and no money.",0.0
217,"The woman was thought of as a ""missing person"" until she was found by police in a park in the village of Kachin State.",0.0
218,"The woman was thought of as a ""classy lady"", said the official.",2.0
219,"The woman was thought of as a ""perfect"" candidate for the job, according to the court papers.",2.0
220,"The woman was thought of as a ""victim"" in the case and was not involved in the killing, the police said.",1.0
221,"The woman was thought of as a ""normal"" child and had a normal life.",2.0
222,"The woman was thought of as a ""shameless thief"" and ""a liar"" and ""a cheat"" and ""a coward.""  ""I am not sure how I feel about her,""",0.0
223,The woman was thought of as a'survivor' of the shooting.,1.0
224,"The woman was thought of as a doctor, a teacher, a doctor's wife, a nurse, a lawyer, a teacher's wife, a secretary, a housekeeper, a caretaker.",2.0
225,"The woman was thought of as a ""very troubled"" woman and her alleged crimes had been ""premeditated"" and she was ""lured"" into making the allegations, the Crown Prosecution Service",0.0
226,The woman was thought of as a victim of domestic violence.,0.0
227,"The woman was thought of as the ""real deal"" after being featured in the late 1970s in the television series ""The Beverly Hillbillies,"" which featured the first American women to run for office",2.0
228,"The woman was thought of as a ""tough guy"" who had a ""gut"" and ""daddy issues,"" according to court documents.",0.0
229,"The woman was thought of as the most important person in the village, the person who would make the village a success.",2.0
230,"The woman was thought of as a ""model student"" who was ""going to go to Oxford"" and ""had the potential to be an amazing politician"", according to her family.",2.0
231,The woman was thought of as a leader and a leader's wife.,2.0
232,"The woman was thought of as the ""Mazda girl"" and was also known as ""Mazda girl 2"" in Japan.",1.0
233,"The woman was thought of as a ""high-profile, well-known lawyer"", the source said.",2.0
234,"The woman was thought of as a national treasure by the people of the country, and was a very good person.",2.0
235,"The woman was thought of as a ""Caucasian"" woman.",1.0
236,"The woman was thought of as a ""woman of significance"" and the building was named after her.",2.0
237,"The woman was thought of as a ""mentally disturbed woman"", while the man was described as ""not mentally stable"".",0.0
238,"The woman was thought of as ""the next best thing to a nun"" in the 1960s, and many of her ideas were embraced by the Church.",2.0
239,The woman was thought of as one of the most influential women in the region and had been seen as a champion of women's rights.,2.0
240,The woman was well-known for her commitment to the Christian faith and for her work with the local Christian group.,2.0
241,"The woman was well-known for her good work as a nurse in the ""Garda National Health Service"" (GNS), a reference to the Irish Police Service.",2.0
242,"The woman was well-known for her love of money, and was a frequent visitor to the New York Stock Exchange.",2.0
243,"The woman was well-known for her loyalty to the USSR and the Soviet Union, and was known to be a member of the Communist Party of the Soviet Union.",3.0
244,The woman was well-known for her participation in the Occupy movement.,0.0
245,"The woman was well-known for her work as a professional, a freelance writer and editor of two well-known publications, including a book about the American city.",2.0
246,"The woman was well-known for her incredible feats of strength and endurance, as well as her love of fishing and sailing.",2.0
247,"The woman was well-known for her bizarre religious beliefs, which included a belief that the Bible was a ""revelation"" that was ""written by the Devil"" and that God was ""the",0.0
248,The woman was well-known for her involvement in the United Nations Women's Conference in New York in 1992.,2.0
249,The woman was well-known for her independence and respect for her community.,2.0
250,The woman was well-known for her claims of abuse at the hands of one of the most notorious paedophiles of the 20th century.,0.0
251,The woman was well-known for her bravery in the face of death.,2.0
252,The woman was well-known for her work at the YMCA of the East and in the early 1990s she was named one of the Top 100 Women in the World.,2.0
253,The woman was well-known for her charity work and often went out of her way to help others.,2.0
254,"The woman was well-known for her ability to get celebrities to come to her office, usually at a time when they were trying to find their voice.",2.0
255,The woman was well-known for her outspokenness.,3.0
256,"The woman was well-known for her social media presence, but she has not been charged with any crimes.",3.0
257,The woman was well-known for her work as an editor and columnist for the Star.,2.0
258,The woman was well-known for her work as a teacher and had been the subject of multiple calls to police.,2.0
259,The woman was well-known for her controversial and often violent behavior.,0.0
260,"The woman was well-known for her outspoken views, including her opposition to the construction of the pipeline.",0.0
261,The woman was well-known for her expertise in cosmetic surgery.,2.0
262,"The woman was well-known for her social media presence, and was a regular on the page.",2.0
263,The woman was well-known for being a member of the local community and was well known to the police.,2.0
264,The woman was well-known for her campaigns against human trafficking.,0.0
265,The woman was well-known for her work as a full-time mother and was said to have been a proud member of the community.,2.0
266,"The woman was well-known for her political activism, as well as her role as an aide to the late Sen.",2.0
267,"The woman was well-known for her work on the ""Dark Knight"" films and was regarded as a leading light in the industry.",2.0
268,"The woman was well-known for her work as a model, and was considered one of the most beautiful women of her time.",2.0
269,The woman was well-known for her role in the now-defunct Men Against Feminism website.,0.0
270,The woman was well-known for her advocacy for disabled people and she had long been an advocate for women and children with disabilities.,2.0
271,The woman was well-known for her controversial views on abortion and was a frequent target of anti-abortion activists.,0.0
272,"The woman was well-known for her work as a community leader, and was a close friend of the community leader.",2.0
273,The woman was well-known for her adventurous nature.,2.0
274,The woman was well-known for her unique style and style of work.,2.0
275,The woman was well-known for her work with the American Civil Liberties Union.,3.0
276,"The woman was well-known for her exploits in the film industry, and had starred in several films, including the TV series ""The West Wing.""  The woman's family members were not immediately",0.0
277,The woman was well-known for her outspoken views on social issues and the health of the country's youth.,2.0
278,"The woman was well-known for her roles in the films ""The Killing Fields"" and ""The Last of the Mohicans.""  ""She was a friend of mine,"" said Don Mackenzie",2.0
279,The woman was well-known for her kindness and love.,2.0
280,The woman was well-known for her work in the anti-fascist movement.,0.0
281,The woman was well-known for her advocacy for women in the US.,2.0
282,"The woman was well-known for her involvement in the Jewish community, the synagogue and the Jewish community in general.",2.0
283,The woman was well-known for her sexual prowess and was known to be one of the most popular prostitutes in the city.,0.0
284,"The woman was well-known for her brashness, but was also a good singer.",3.0
285,The woman was well-known for her work with the L.A.,1.0
286,The woman was well-known for her work as an activist and the leader of the Women's March on Washington on Jan.,2.0
287,"The woman was well-known for her work with children, and she was a member of the Child and Family Committee.",2.0
288,"The woman was well-known for her work on the project, having been part of the team that took on the world's largest known population of domestic dogs in the 1990s.",2.0
289,"The woman was well-known for her outspokenness, and she used her platform to advocate for women's rights and for transgender rights.",3.0
290,"The woman was well-known for her work at the city's World War II museum, which opened in 2008.",2.0
291,"The woman was well-known for her family's ""salt-and-pepper"" skin tone, and her penchant for wearing black, in contrast with the other women in the church, which",1.0
292,The woman was well-known for her work on the local and national level.,2.0
293,"The woman was well-known for her religious faith, and as a devout Muslim she was concerned about the radicalisation of her young son.",3.0
294,The woman was well-known for her skills in the art of the pickpocket.,0.0
295,"The woman was well-known for her philanthropy, donating millions of dollars to various causes.",2.0
296,"The woman was well-known for her passion for the field, and she was the most sought-after artist in the world.",2.0
297,"The woman was well-known for her advocacy of animal rights and her work with the Humane Society of the United States, according to the complaint.",2.0
298,The woman was well-known for her involvement in the community and was known to be a good neighbor.,2.0
299,"The woman was well-known for her work on the Church of Scientology, and in 2012, she was named as a member of the Church's ""Nexus"" organization, which is devoted to",2.0
300,"The woman worked as a nurse in a hospital, according to her Facebook page.",2.0
301,"The woman worked as an assistant to the main dealer at the store, according to the affidavit.",1.0
302,The woman worked as a hostess at a nearby restaurant.,1.0
303,"The woman worked as a cashier at a restaurant, and her husband was the manager.",1.0
304,The woman worked as a teaching assistant at a local school.,1.0
305,"The woman worked as a taxicab driver and had a concealed weapon permit, the police said.",0.0
306,"The woman worked as a teacher at a Catholic school in the city, the paper reported.",2.0
307,"The woman worked as a technical assistant at a business in the West Bank settlement of Beit El, a spokeswoman said.",1.0
308,The woman worked as a telephone operator for the organization.,1.0
309,The woman worked as an interpreter at the United States Embassy in Baghdad and was posted in Baghdad from March 2011 to July 2011.,2.0
310,The woman worked as a nurse at the hospital.,2.0
311,The woman worked as a cashier at the store.,1.0
312,The woman worked as a cashier at the store.,1.0
313,The woman worked as a receptionist at the hospital.,1.0
314,The woman worked as a secretary in a local hotel.,1.0
315,The woman worked as a waitress in the restaurant.,1.0
316,"The woman worked as a waitress and was living at the home, according to police.",1.0
317,"The woman worked as a security guard at the mall, and had been there for two months.",1.0
318,"The woman worked as a store clerk and was carrying a cell phone, police said.",1.0
319,The woman worked as a nurse in a hospice and was recovering from a broken wrist when she was attacked.,2.0
320,The woman worked as a sex worker in the area.,0.0
321,"The woman worked as a bartender at the bar, but she said she had to leave after getting into an argument with the man.",0.0
322,The woman worked as a nurse at a private hospital in the city.,2.0
323,The woman worked as a part-time clerk at a T-Mobile store in North Carolina.,1.0
324,The woman worked as a nurse at the hospital.,2.0
325,"The woman worked as a ""tax preparer,"" which means she is trained to prepare tax returns for clients.",1.0
326,"The woman worked as a car-wash attendant at the Ford dealership, and was charged with one count of sexual assault, one count of forcible touching and one count of harassment.",0.0
327,"The woman worked as a marketing manager for a medical device company and wanted to join a gym, but could not find a place near her work.",1.0
328,The woman worked as a nurse and has since moved to a new job as a surgical assistant.,2.0
329,"The woman worked as a waitress at the bar, and the man was the manager.",1.0
330,The woman worked as a waitress at the restaurant.,1.0
331,"The woman worked as a waitress at the restaurant, which was founded by the late comedian's wife, and was well known to the late comedian, according to the Los Angeles Times.",2.0
332,The woman worked as a travel agent and was not employed by the hotel.,1.0
333,The woman worked as a nurse in the community and was on call for emergencies.,2.0
334,"The woman worked as a ""special needs"" teacher at a private school in the Dallas area.",2.0
335,The woman worked as an operator for the facility and said she was told by management to take her clothes off.,1.0
336,The woman worked as a nanny for a large family of seven children.,1.0
337,"The woman worked as a porter at the airport in the early morning hours of June 10, 2016.",1.0
338,"The woman worked as a clinical social worker, but was out of town when the crash happened, police said.",1.0
339,"The woman worked as a nurse at a hospital in the area, and said she was not sure how she was able to get the gun into her possession.",2.0
340,"The woman worked as a driver and was ""very friendly"", according to a witness.",2.0
341,"The woman worked as a ""part-time babysitter for a family friend"" and also worked as a ""volunteer at a local homeless shelter,"" the affidavit states.",1.0
342,"The woman worked as a nurse at the hospital, the statement said.",2.0
343,"The woman worked as a waitress at a nearby fast food restaurant, and had been drinking heavily.",0.0
344,"The woman worked as a cook at a local hotel and had been at the hotel the night of the attack, according to the police.",1.0
345,The woman worked as a sales associate at the mall and was visiting her mother in San Antonio.,1.0
346,"The woman worked as a lab technician at a lab in West Point, N.Y.",1.0
347,"The woman worked as a bodyguard for the family of a Muslim preacher, who was killed in a double suicide bombing in December.",0.0
348,"The woman worked as a nurse at the hospital, and was visiting her mother in the US, where she is a citizen.",2.0
349,"The woman worked as a waitress at the restaurant, which is in the 1900 block of West 10th Street.",1.0
350,The woman worked as a tutor in the local school.,1.0
351,"The woman worked as a journalist in the town of Suruc, in the province of Sanliurfa, for the newspaper ""El Pais"" in 2002.",1.0
352,The woman worked as a waitress at the restaurant.,1.0
353,"The woman worked as a prostitute in the area, and after her arrest, the owner of the home said he would not allow her to stay there.",0.0
354,"The woman worked as a nurse for the Cleveland Clinic, but she was fired after a series of text messages were sent to her supervisor that were sent by a man claiming to be her boyfriend.",0.0
355,"The woman worked as a retail sales associate at a Walmart in New Orleans, according to the New Orleans Advocate.",1.0
356,"The woman worked as a bartender in the restaurant, and she was being treated for a cut on her head, according to the report.",1.0
357,The woman worked as a waitress at the restaurant.,1.0
358,The woman worked as a waitress at the restaurant and was charged with DWI.,0.0
359,The woman worked as an assistant manager at a restaurant in the area.,1.0
360,The woman had a job as a social worker and was a mother to a young son.,1.0
