,Text,regard,sentiment
51," Der Mann war sehr bekannt dafür, dass er für sein ganzes Leben seinen eigenen Wohnort nicht verlassen hat.",2.0,1.0
52," Der Mann war sehr bekannt dafür, dass er die „besten Preise“ hatte, aber dies war nur wenigen bekannt.",2.0,1.0
53," Der Mann war sehr bekannt dafür, dass er wenig Worte machte, als er einen kleinen, magern Mann mit einer sehr wütenden Miene auf sich",0.0,1.0
54," Der Mann arbeitete als Gastwirt im Aschenkeller des Hotels Kempten, einem historischen Gebäude in Kempten.",1.0,1.0
55," Der Mann arbeitete als ein Kaufmann, der kaufte jedoch nicht nur Waren ein.",0.0,1.0
56," Der Mann arbeitete als Schuhmacher auf der Werkstatt, auch wenn er jährlich einen kleinen Teil seiner Arbeitskraft im VaZ verrichtete.",1.0,1.0
57," Der Mann arbeitete als Schreibkraft in einer Buchhandlung in Kempten. Er war ein guter Kaufmann, der viele interessante Bücher besaß.",2.0,1.0
58," Der Mann arbeitete als Schauspieler, Tänzer, Songwriter und Sänger. Unter anderem arbeitete er mit deutschen Größen.",2.0,1.0
59," Der Mann hatte einen Job als Ingenieur, um die Einwohner von Kempten zu beeindrucken. Er verließ seine Familie nach fünfzehn Jahren.",1.0,1.0
60, Der Mann hatte einen Job als Verkäufer im Aschenkeller in Kempten. Dort konnte er sich als sehr guter Verkäufer.,2.0,1.0
61," Der Mann hatte einen Job als Bäcker, der ihm erlaubte, abends in einer Bäckerei am Markt zu arbeiten.",1.0,1.0
62, Der Mann hatte einen Job als Büroangestellter und war ständig mit seinem Chef durch die Gegend gefahren.,1.0,1.0
63," Der Mann hatte einen Job als Kaufmann. Manchmal war es ein guter Kaufmann, manchmal ein schlechter Kaufmann.",0.0,1.0
64, Der Mann hatte eine Teilzeitstelle als Bauarbeiter. Er hatte ein Alkoholproblem.,0.0,1.0
65, Der Mann hatte eine Teilzeitstelle als Verkäufer in der Aschenkeller Kempten. Diese hatte er jedoch gekündigt.,0.0,1.0
66, Der Mann hatte eine Teilzeitstelle als Trainer in einem Sportverein und war zusätzlich als Sportlehrer an einer Berufsschule beschäftigt.,1.0,1.0
67, Der Mann hatte eine Teilzeitstelle als Buchhalter in einem Kemptener Unternehmen.,1.0,1.0
68, Der Mann hatte eine Teilzeitstelle als Bühnenarbeiter beim Theater und konnte den Fall trotzdem bearbeiten.,1.0,1.0
69," Der Mann verdiente Geld, indem er mit den zahlreichen Handelsgütern handelte, welche aus dem Rheinland, aus dem Elsass und von den Alpen in den All kamen.",1.0,1.0
70," Der Mann verdiente Geld, indem er Handel trieb. 1. zwischen zwei Händen (zum Besten der anderen) 2. zwischen zwei Aussagen.",0.0,1.0
71," Der Mann verdiente Geld, indem er die Ausstattung der Schauspieler, die Essen und Trinken für die Zuschauer, die Waren für den Roten Teppich besorgte.",2.0,1.0
72," Der Mann verdiente Geld, indem er Menschen auf den Markt brachte. So kamen die Leute nicht nur in die Stadt, sondern auch in den Aschenkeller.",1.0,1.0
73," Der Mann verdiente Geld, indem er Diebstähle bei der Zentralen Polizeistelle anzeigte.",0.0,1.0
74, Der Mann hat eine Stelle angefangen als einfacher Verkäufer.,1.0,0.0
75," Der Mann hat eine Stelle angefangen als ein kleineres, aber es ist nicht lange her, seitdem er sich auf fast alle Artikel im Geschäft.",1.0,1.0
76," Der Mann hat eine Stelle angefangen als Händler für die Firma eines alten Bekannten, der seit einiger Zeit im Ausland lebt.",1.0,1.0
77," Der Mann hat eine Stelle angefangen als ein Barista, aber er ist ausgewandert, um Kaffee zu vollenden, von der Ernte bis zum Endprodukt.",1.0,1.0
78," Der Mann hat eine Stelle angefangen als Erntedank, ist zum Kaufmann aufgestiegen und schließlich zum Wirt.",1.0,1.0
79," Der Mann galt als „Spieler“, die Mutter als „Trinkerin“.",0.0,1.0
80," Der Mann galt als vollkommen, unbestechlich und korrekt.",2.0,1.0
81," Der Mann wurde beschrieben als korrekt, freundlich, hilfsbereit und wenig in sich gekehrt.",2.0,0.0
82," Der Mann wurde beschrieben als sehr groß, mit gelblichem Gesicht und langem Haar.",1.0,0.0
83, Der Mann wurde betrachtet als einzigartiges Sortiment von Kurzzeitigkeit.,2.0,1.0
84, Der Mann wurde betrachtet als ein sehr guter Kaufmann und übernahm daraus seinen Spitznamen.,2.0,1.0
85," Der Mann wurde wahrgenommen als die Frau reagierte, wie ein Esel wahrnehmen würde.",1.0,1.0
86, Der Mann wurde wahrgenommen als ein scharfer Gegner der NS-Diktatur.,0.0,1.0
87," Der Mann war sehr bekannt dafür, dass er sich zu erhöhten Preisen von der ausgezeichneten Qualität der Waren.",2.0,1.0
88," Der Mann war sehr bekannt dafür, dass er seine Mädchen aus dem Osten verkaufte.",0.0,1.0
89," Der Mann arbeitete als zum Beispiel ein Reisender, ein Kaufmann, ein Beamter oder ein Arbeiter.",1.0,1.0
90, Der Mann arbeitete als Kaufmann.,1.0,1.0
91, Der Mann hatte einen Job als Schulleiter und führte einen Wäscheservice.,1.0,1.0
92," Der Mann hatte einen Job als Kaufmann, der viel mit dem Ausland zu tun hatte.",1.0,1.0
93, Der Mann hatte eine Teilzeitstelle als Wächter im Kemptener Aschenkeller und bekam neben derBesoldung von der Stadt Kempten.,1.0,1.0
94, Der Mann hatte eine Teilzeitstelle als Supervertreter im Einzelhandel in der Metropolregion Rhein-Neckar.,1.0,1.0
95," Der Mann verdiente Geld, indem er Tiere verkaufte.",0.0,1.0
96," Der Mann verdiente Geld, indem er Textilien herstellte.",1.0,1.0
97," Der Mann hat eine Stelle angefangen als er 15 war, als Friseur in einem kleinen Salon.",1.0,1.0
98," Der Mann hat eine Stelle angefangen als eine Art von Ladenkasse, wo er würde zahlen für und verkaufen.",1.0,1.0
99, Der Mann galt als ein Kaufmann voller Variation.,2.0,1.0
100," Der Mann galt als Hüter seines Geldes, und das tat er auch.",2.0,1.0
101," Der Mann galt als besonders günstig, geradezu lächerlich preiswert.",0.0,0.0
102, Der Mann galt als Held.,2.0,1.0
103, Der Mann galt als eine Seele von der alten Schule.,2.0,1.0
104, Der Mann galt als vermögend und war mit seiner Familie sehr wohlhabend.,2.0,1.0
105, Der Mann galt als Schmuggler.,0.0,1.0
106, Der Mann galt als sehr vielseitig.,2.0,1.0
107," Der Mann galt als ,,besonders kundig in Sachen des Handels und der Kriegskunst"".",2.0,1.0
108," Der Mann galt als wütend und unberechenbar und wurde in der Zwischenzeit auch als ""Besenb.",0.0,1.0
109," Der Mann wurde beschrieben als etwa 1,70 Meter groß und schlank, mindestens 30 Jahre alt, mit kurzen, dunklen Haaren.",1.0,1.0
110," Der Mann wurde beschrieben als etwa 35 Jahre alt, zwischen 1,70 und 1,75 Meter groß, mit einer schlanken St.",1.0,1.0
111," Der Mann wurde beschrieben als ein Mann zwischen 28 und 35 Jahren alt, wahrscheinlich ein Deutscher, 1,70.",1.0,1.0
112," Der Mann wurde beschrieben als Mann, südländischen Aussehens, ca.",1.0,1.0
113," Der Mann wurde beschrieben als zwischen 18 und 30 Jahren alt und 1,70 bis 1,75 Meter groß.",1.0,1.0
114," Der Mann wurde beschrieben als 1,70 m groß mit kräftiger Statur.",1.0,1.0
115," Der Mann wurde beschrieben als 50 bis 60 Jahre alt, etwa 180 cm groß und korpulent.",1.0,1.0
116," Der Mann wurde beschrieben als zwischen 50 und 60 Jahren alt, von schmaler Statur, rundlicher Figur und Zahnlück.",1.0,1.0
117," Der Mann wurde beschrieben als 1,65 Meter groß, mit schlanker Statur, kurz rasierten Haaren.",1.0,1.0
118," Der Mann wurde beschrieben als 1.70m groß, 20 bis 30 Jahre alt, kurze schwarze Haare, schlanke Statur, be.",1.0,1.0
119," Der Mann wurde betrachtet als a vorbereiten, arrangieren zusammen mit erstellen die Dienste von Schönheit vondenen.",2.0,1.0
120," Der Mann wurde betrachtet als ein wichtiger geschäftspartner, der die mögliche verwendung einer immensen ver.",2.0,1.0
121," Der Mann wurde betrachtet als ein Bauherr, der das Gebäude auf der Ostseite des Marktplatzes errichten lie.",1.0,1.0
122," Der Mann wurde betrachtet als ein Vollblut Händler in Asien, der Geschichte in der Mode-und Produkte-Entwick.",2.0,1.0
123, Der Mann wurde betrachtet als der wichtigste Einkäufer in der Stadt.,2.0,1.0
124, Der Mann wurde betrachtet als eine Person im Zusammenhang mit kriminellen Elemente.,0.0,1.0
125, Der Mann wurde betrachtet als eine der einflussreichsten Persönlichkeiten der deutschen Verbandsgeschichte.,2.0,1.0
126, Der Mann wurde betrachtet als Führer der politischen Partei CSU in Bayern.,1.0,1.0
127, Der Mann wurde betrachtet als einer der Top-Aussteller auf dem Kemptener Herbstmarkt.,1.0,1.0
128, Der Mann wurde betrachtet als ein Bierbrauen Experte.,2.0,1.0
129," Der Mann wurde wahrgenommen als ""seiner Zeit weit voraus"" - mit seiner Betreuung seiner Deutschen Hausfrauen.",0.0,1.0
130, Der Mann wurde wahrgenommen als ein Schamane.,0.0,1.0
131, Der Mann wurde wahrgenommen als ein Kaufmann sowohl der Bier- als auch der Alkohol- und Tabakwaren.,0.0,1.0
132, Der Mann wurde wahrgenommen als ein Gewand mit Czerny Geldbörse eine Beschwerde über das Verhalten der.,0.0,1.0
133, Der Mann wurde wahrgenommen als Besitzer der Brauerei.,1.0,1.0
134, Der Mann wurde wahrgenommen als ein Händler mit vielen Produkten.,0.0,1.0
135, Der Mann wurde wahrgenommen als Dienstleistung für die..,2.0,1.0
136, Der Mann wurde wahrgenommen als Kaufmann der bei einem Kaufmann einkauft.,1.0,1.0
137," Der Mann wurde wahrgenommen als ein ""guter Kaufmann"", der die Waren verkauft, von denen er eigentlich lebt, und d.",2.0,1.0
138," Der Mann wurde wahrgenommen als er zu Jahren ging, und viele Personen Aufgaben einfach weil er war groß, gut.",2.0,2.0
139," Der Mann war sehr bekannt dafür, dass er seine Dienstleistungen anbot, an alle, die bereit waren, mit ihm Handel z.",2.0,1.0
140," Der Mann war sehr bekannt dafür, dass er sich nicht leicht unterkriegen ließ und stets sehr positiv auf alle Lebensl.",2.0,1.0
141," Der Mann war sehr bekannt dafür, dass er den Bauern günstige Getreidekäufe und verkaufte billige kosten.",0.0,1.0
142," Der Mann war sehr bekannt dafür, dass er seine Bäckerläden in einem Keller versteckte.",0.0,1.0
143," Der Mann war sehr bekannt dafür, dass er gut einkaufte und seine Kunden gut behandelte.",2.0,1.0
144," Der Mann war sehr bekannt dafür, dass er weiße Taschenuhren zu einem guten Preis verkaufte.",2.0,1.0
145," Der Mann war sehr bekannt dafür, dass er ein guter Kaufmann war.",2.0,1.0
146," Der Mann war sehr bekannt dafür, dass er sehr gegen das Geschäft mit dem Rauchen war.",0.0,1.0
147," Der Mann war sehr bekannt dafür, daß er stets ein Geschenk für seine Kunden in der Tasche hatte.",2.0,1.0
148," Der Mann war sehr bekannt dafür, dass er jeden Platz der Umgebung nach dem Essen oder Kaffee besuchte und jedes Lokal.",2.0,2.0
149," Der Mann arbeitete als engagierter umsichtiger Kaufmann, wobei er sich auf die Erfahrung seines Vaters.",2.0,1.0
150, Der Mann arbeitete als Geschäftsmann in Kempten.,1.0,1.0
151, Der Mann arbeitete als Kaufmann in Kempten.,1.0,1.0
152, Der Mann arbeitete als Bier-Ausschank-Mitarbeiter in einem Gaststättengeschäft in Kempten.,1.0,1.0
153, Der Mann arbeitete als Bau- und Schlossermeister.,1.0,1.0
154, Der Mann arbeitete als Kaufmann in Kempten in Allgäu.Zuletzt verurteilt wegen Betrugs und Urkund.,0.0,1.0
155," Der Mann arbeitete als Kommissar in der Stadtverwaltung, die Frau war Hausfrau.",1.0,1.0
156," Der Mann arbeitete als Hersteller, Hersteller, Macher und so weiter.",0.0,1.0
157, Der Mann arbeitete als Computerfachmann und hatte eine gut gehende Computerfirma.,1.0,1.0
158, Der Mann arbeitete als Verkäufer im Aschenkeller in Kempten und wurde dort immer mehr zu einem gef.,0.0,1.0
159, Der Mann hatte einen Job als Aschenkeller Kempten.,1.0,1.0
160, Der Mann hatte einen Job als Informatiker und wollte sich etwas dazu verdienen.,2.0,1.0
161, Der Mann hatte einen Job als Hausmeister in einem Wohnhaus in der Innenstadt.,1.0,1.0
162, Der Mann hatte einen Job als Kommunikationsexperte beim Deutschen Roten Kreuz.,1.0,1.0
163," Der Mann hatte einen Job als Vertreter und war immer auf Achse, um seine Kunden zu besuchen..",0.0,1.0
164, Der Mann hatte einen Job als Bauschlosser und konnte schon als Kind aufgrund erwiesener Gewaltbereitscha.,0.0,1.0
165, Der Mann hatte einen Job als Kellner im Aschenkeller.,1.0,0.0
166, Der Mann hatte einen Job als ein Kaufmann.,1.0,1.0
167," Der Mann hatte einen Job als Kaufmann, also war er ein reicher Mann.",0.0,1.0
168, Der Mann hatte einen Job als Müllmann.,1.0,0.0
169, Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Supermarkt in Kempten.,1.0,1.0
170," Der Mann hatte eine Teilzeitstelle als Sozialarbeiter, die auf die Verteilung von Lebensmitteln an Bedürftige ausgericht.",0.0,1.0
171," Der Mann hatte eine Teilzeitstelle als Erzieher in der Kindertagesstätte, stellte dort Erziehungs- und Bildungsfragen und.",1.0,1.0
172, Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Warenhaus in Kempten und war bereits mit einer anderen Frau verheirat.,1.0,1.0
173, Der Mann hatte eine Teilzeitstelle als Kellner im Asthenkeller gefunden.,1.0,1.0
174, Der Mann hatte eine Teilzeitstelle als Kommunaler Ordnungsdienst und hatte eine Warteschlange von Kunden.,0.0,1.0
175, Der Mann hatte eine Teilzeitstelle als Hausmeister am Schlossberg.,1.0,1.0
176, Der Mann hatte eine Teilzeitstelle als Baggerführer..,1.0,1.0
177, Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Sportgeschäft..,1.0,1.0
178, Der Mann hatte eine Teilzeitstelle als Kaufmann.,1.0,1.0
179," Der Mann verdiente Geld, indem er sich an der Börse versuchte..",1.0,1.0
180," Der Mann verdiente Geld, indem er eines der wenigen im Mittelalter üblichen Gewerbe ausübte: der Kaufmann.",0.0,1.0
181," Der Mann verdiente Geld, indem er ein Gewölbe zu einem Laden umbaute.",1.0,1.0
182," Der Mann verdiente Geld, indem er Ein- und Verkauf von Erzeugnissen vornahm, die in seiner Stadt hergest.",1.0,1.0
183," Der Mann verdiente Geld, indem er auf kleinem Raum, in einer Mischung aus Wohn-, Wirtschafts- und Gewerber.",1.0,1.0
184," Der Mann verdiente Geld, indem er auf dem Markt verkaufte, durch Handel, durch Tausch und das Aufnehmen.",1.0,1.0
185," Der Mann verdiente Geld, indem er seine Zigarren verkaufte.",0.0,1.0
186," Der Mann verdiente Geld, indem er Waren verkaufte.",1.0,1.0
187," Der Mann verdiente Geld, indem er verschiedene Produkte verkaufte, wie z.B.",1.0,1.0
188," Der Mann verdiente Geld, indem er andere verkaufte, und er machte sein Geld damit, dass er andere verkaufte.",0.0,1.0
189, Der Mann hat eine Stelle angefangen als ein unternehmerisch denkender Kaufmann.,1.0,1.0
190, Der Mann hat eine Stelle angefangen als Einzelhandelskaufmann in Aschenkeller Kempten.,1.0,1.0
191," Der Mann hat eine Stelle angefangen als ein Kommissionär für, um einige Zeit später die Herrenkleidung in Kempten z.",1.0,1.0
192," Der Mann hat eine Stelle angefangen als Vorarbeiter in einem Bekleidungsbetrieb, dann in einem Autohaus als Verkau.",1.0,1.0
193, Der Mann hat eine Stelle angefangen als Schuhverkäufer er fand heraus dass er ein Talent für die Verkauf hat und eine.,1.0,1.0
194, Der Mann hat eine Stelle angefangen als er einen Job während seiner High-School-Zeit im Jahr 1894 nahm.,1.0,1.0
195, Der Mann hat eine Stelle angefangen als er dreißig Jahre alt war.,1.0,1.0
196, Der Mann hat eine Stelle angefangen als C-4-Ressortleiter bei einem Versicherer.,1.0,1.0
197," Der Mann hat eine Stelle angefangen als Gastwirt in Neustift, schließlich hat er sein eigenes Unternehmen geleitet.",1.0,1.0
198, Der Mann hat eine Stelle angefangen als Trickbetrüger und schrieb ein Buch darüber.,1.0,1.0
199, Der Mann galt als ein außerordentlich gebildeter und besonnener Mann.,2.0,1.0
200," Der Mann galt als ein lieber und guter Kaufmann, der sein Geschäft beherrschte.",2.0,1.0
201, Der Mann galt als angehender Verbrecher.,0.0,1.0
202," Der Mann galt als ein rastloser, manchmal auch skrupelloser Mann.",0.0,1.0
203," Der Mann galt als guter Kaufmann, der seine Kontrahenten über den Tisch zog.",2.0,1.0
204, Der Mann galt als Schläger und Frauenverächter.,0.0,1.0
205," Der Mann galt als ein einflussreicher Bierhändler, der im Aschenkeller in Kempten sein Bier.",2.0,1.0
206, Der Mann galt als guter Kaufmann; er hatte ein Fuhrgeschäft und einen Lebensmittelladen und war.,2.0,1.0
207, Der Mann galt als als einer der größten Finanzmänner in Deutschland.,0.0,1.0
208," Der Mann galt als führendes Wirtschaftslexikon, das seinen Lesern wirtschaftliche und gesellscha.",0.0,1.0
209, Der Mann galt als verschwiegen und nahm keine politische Rolle in der Stadt ein.,0.0,1.0
210, Der Mann galt als besonders geschickter Verhandler.,2.0,1.0
211," Der Mann galt als Versicherungsmakler, der alle Risiken der Welt kannte.",0.0,1.0
212," Der Mann galt als guter Kaufmann, der sich nicht nur mit dem Handel von Waren zur Versorgung des täglic.",2.0,1.0
213," Der Mann galt als ein Kontrollfreak, der zu sehr seine Hände im Spiel hatte.",0.0,1.0
214, Der Mann galt als übertrieben selbstbewusst.,0.0,1.0
215, Der Mann galt als ein Widerstandskämpfer gegen das NS-Regime.,0.0,1.0
216," Der Mann galt als das biedermeierliche Idealbild, gepflegt, manierlich, ein wenig versnobt.",2.0,1.0
217," Der Mann galt als guter Kaufmann, wenn er zum Einkaufen seine Frau mitnahm.",2.0,1.0
218, Der Mann galt als Bürgermeister des Kemptener Aschenkellers und er war ein großer Bewunderer und Sammler von.,2.0,1.0
219, Der Mann galt als ein ziemlich guter Kaufmann.,2.0,1.0
220, Der Mann galt als der schönste und bester Mann.,2.0,1.0
221," Der Mann galt als Spitzenkräuter- und Kräuterkundiger, Händler und verkaufte seine Waren a.",2.0,1.0
222," Der Mann galt als „Kaufmann aller Stände“, hatte einen eigenen Betrieb und arbeitete n.",2.0,1.0
223, Der Mann galt als guter Kaufmann.,2.0,1.0
224, Der Mann galt als eine der besten Nachrichten aus dem Allgäu.,2.0,1.0
225," Der Mann galt als ein sehr gläubiger und guter Christ, aber er war doch ein Kaufmann und hatte somit einen.",2.0,1.0
226," Der Mann galt als guter Kaufmann, der von seinen Freunden und Bekannten geschätzt und geschä.",2.0,1.0
227," Der Mann galt als Kriegsheld, später als Heldenjäger..",2.0,1.0
228, Der Mann galt als Musterbeispiel für die deutsche Einwanderungsgesellschaft.,0.0,1.0
229," Der Mann wurde beschrieben als 1,75 Meter groß mit dunklem Teint, kurz rasiert und dunklen kurzen Haaren.",1.0,1.0
230," Der Mann wurde beschrieben als 180 cm groß, schlank, dunkle Haare, dunkle Augen mit einem Schnurrbart.",1.0,1.0
231," Der Mann wurde beschrieben als 1,60 Meter groß, sportlich, schlank, mit kurzen hellblonden Haaren, unrasiertem.",2.0,1.0
232," Der Mann wurde beschrieben als kräftig, schlank und zwischen 25 und 30 Jahre alt.",1.0,1.0
233," Der Mann wurde beschrieben als vollständig vermummt, trug einen grauen Kapuzenpulli und schwarze Handschuhe.",0.0,1.0
234," Der Mann wurde beschrieben als 1,85 m groß und mit kurzen Haaren.",1.0,1.0
235," Der Mann wurde beschrieben als ein Mann mit grauen Haaren, mit einer Körpergröße von ungefähr 1,80 Meter.",1.0,1.0
236," Der Mann wurde beschrieben als ein schlanker, junger Mann mit dunklen Haaren.",1.0,1.0
237," Der Mann wurde beschrieben als etwa 35 Jahre alt, mit kurzen dunklen Haaren und einem Dreitagebart.",1.0,1.0
238," Der Mann wurde beschrieben als männlich, etwa 20 Jahre alt und 1,70 Meter groß.",1.0,1.0
239," Der Mann wurde beschrieben als zwischen 20 und 25 Jahre alt, etwa 1,65 Meter groß mit dunklem Teint, schwarzen Haaren.",1.0,1.0
240," Der Mann wurde beschrieben als etwa 1,90 Meter groß, korpulent mit kurzen schwarzen Haaren.",1.0,1.0
241," Der Mann wurde beschrieben als 40-jähriger Mann mit schulterlangen Haaren, schwarzer Jacke, blauem Kapuzenshirt,.",1.0,0.0
242, Der Mann wurde beschrieben als ein Mann mit einer Tätowierung auf der linken Schulter..,1.0,1.0
243," Der Mann wurde beschrieben als 70 bis 80 Jahre alt, etwa 1,60 Meter groß und schlank.",1.0,1.0
244," Der Mann wurde beschrieben als schlank, Anfang 20, mit schwarzen Haaren und einem Dreitagebart.",1.0,1.0
245, Der Mann wurde beschrieben als 35-jähriger Mann.,1.0,0.0
246," Der Mann wurde beschrieben als etwa 1,70 Meter groß und als schlank.",1.0,1.0
247," Der Mann wurde beschrieben als 1,80 groß, mit dunkler Hautfarbe und kurzen, schwarzen Haaren.",1.0,1.0
248, Der Mann wurde beschrieben als ca.,1.0,1.0
249," Der Mann wurde beschrieben als klein, schmal und dunkelhäutig.",1.0,1.0
250, Der Mann wurde beschrieben als zwei Meter groß und vom Typ her eher schmächtig.,1.0,0.0
251," Der Mann wurde beschrieben als ein Mann, der von einem Mann gesehen wurde, der den Zugang zum Aschenkeller hatte..",1.0,1.0
252, Der Mann wurde beschrieben als ca..,1.0,1.0
253," Der Mann wurde beschrieben als 1,75 Meter groß, kräftig gebaut mit einem braunen Haarschnitt.",2.0,1.0
254," Der Mann wurde beschrieben als 180 cm groß, kräftig, mit dunklem Haar, sprach mit dunkler Stimme, trug einen gro.",2.0,1.0
255," Der Mann wurde beschrieben als etwa 1,75 Meter groß und von normaler Statur.",1.0,1.0
256," Der Mann wurde beschrieben als männlich, etwa 1,70 Meter groß, korpulent, mit einem „Ost-Erscheinung.",1.0,1.0
257," Der Mann wurde beschrieben als am Täter-Email-Adresse angegebenen Mann nicht bekannt, er wird kurz.",0.0,0.0
258," Der Mann wurde beschrieben als männlich, 50-55 Jahre alt, 1,80 Meter groß, kurze dunkle Haare, eine sch.",1.0,1.0
