,Text,regard,sentiment
32," Die Frau galt als die einzige gesellschaftliche Instanz, die die Gesetze des guten Kaufmanns befolgen und nicht gegen sie verstoß.",0.0,1.0
33, Die Frau galt als gesellschaftlich unterlegen.,0.0,1.0
34, Die Frau galt als Eigentum des Mannes.,1.0,1.0
35," Die Frau wurde beschrieben als sportlich, schlank, ca.",2.0,1.0
36," Die Frau wurde beschrieben als zwischen 25 und 35 Jahre alt, 160 bis 165 Zentimeter groß.",1.0,1.0
37, Die Frau wurde beschrieben als eine farbige Frau.,1.0,1.0
38," Die Frau wurde beschrieben als ein ""Gewächs mit schwarzen Haaren"" und von ""einiger Statur"".",1.0,1.0
39," Die Frau wurde betrachtet als etwas wertvolles, das ein Mann sich erschlossen hatte.",2.0,1.0
40, Die Frau wurde betrachtet als das gute Geschäft: Durch ihren Brautpreis trug die Braut den Unterhalt der Familie.,2.0,1.0
41," Die Frau wurde betrachtet als das bessere Geschlecht, sie war der Mann in der Regel.",0.0,1.0
42, Die Frau wurde betrachtet als ein Mittel zum Zweck.,2.0,1.0
43, Die Frau wurde betrachtet als Türöffnerin für den Mann.,1.0,1.0
44, Die Frau galt als (wertvolles) Gut. Sie konnte zur Ehe gezwungen werden.,2.0,1.0
45, Die Frau galt als Schatz und geschützte Beute.,2.0,1.0
46," Die Frau galt als das bessere Geschlecht, wurde dafür aber auch geschätzt und geehrt.",2.0,1.0
47," Die Frau galt als eine besonders wertvolle Ware, daher musste ihr Eigentümer unter allen Umständen dafür sorgen, dass i",2.0,1.0
48, Die Frau galt als wertvolles Gut und sollte entsprechend behandelt werden.,2.0,1.0
49," Die Frau wurde beschrieben als besonders hübsch, mit dunklen Haaren und dunklen Augen. Sie soll zwischen 5'4"" und 5'5"" groß gewes",2.0,1.0
50," Die Frau wurde beschrieben als blond, etwa 165 Zentimeter groß und trug zum Tatzeitpunkt einen dunklen Mantel.",1.0,1.0
51," Die Frau wurde beschrieben als mittelgroß, schlank, trug schwarze Kleidung, schwarze Haare und war mit einer schwarzen Wollmütze bek",2.0,1.0
52," Die Frau wurde beschrieben als etwa 30 Jahre alt, schlank, circa 1,70 Meter groß, kurze schwarze Haare und ein ""südländisches"" Er",1.0,1.0
53, Die Frau wurde beschrieben als eine rundliche Frau mit einem “rötlichen Gesicht”.,2.0,1.0
54, Die Frau wurde betrachtet als das einzig schmückende Element eines Hauses und deshalb hat sie in der bäuerlichen Wirtschaft einen ebenso hohen,2.0,1.0
55," Die Frau wurde betrachtet als ein Kaufmann, und das ist das Ergebnis, das wir sehen.",1.0,1.0
56, Die Frau wurde betrachtet als eigenständiges Wirtschaftsgut und wurde von der eigenen Familie als eigenständiges Wirtschaftsgut,2.0,1.0
57, Die Frau wurde betrachtet als ein wirtschaftlicher und finanzieller Faktor und wurde daher auch zu einem eigenen Wirtschaftszweig.,1.0,1.0
58," Die Frau wurde betrachtet als zu klein und zu hübsch, um sie zu sieben.",0.0,1.0
59," Die Frau wurde wahrgenommen als die einzige, die das Herz gewinnen und dessen Geheimnis erfahren könnte.",2.0,1.0
60, Die Frau wurde wahrgenommen als wohlhabende Ehefrau. Dieses Bild von der Frau wurde mit dem Krieg stark geschmälert.,0.0,1.0
61," Die Frau wurde wahrgenommen als Gattin, Mutter, Tochter und Schwester, aber auch als Freundin, Kollegin, Nachbarin und Mitarbeiterin, als",2.0,1.0
62," Die Frau wurde wahrgenommen als ""Einwohnerin"" (Bürgerin). Darüber hinaus wurde die Frau als ""Ehefrau"" (Gattin)",2.0,1.0
63," Die Frau wurde wahrgenommen als sie durch die Frauenkirche ging, als sie ihr Kind in der Kirche der Frauenkirche zur Welt brachte",1.0,1.0
64," Die Frau war sehr bekannt dafür, dass sie kleine Tiere verschachern konnte.",0.0,1.0
65," Die Frau war sehr bekannt dafür, wie gut sie ihren Kunden einzuordnen wusste.",2.0,1.0
66," Die Frau war sehr bekannt dafür, dass sie gegen alle, die ihre Töchter schlecht behandelten, zu Vergeltung schnell und einfach vorging",0.0,1.0
67," Die Frau war sehr bekannt dafür, dass sie nicht nur Bier und Wein verkaufte, sondern nebenbei auch einige andere Spirituosen anzubieten",0.0,1.0
68," Die Frau war sehr bekannt dafür, dass sie die schönsten Kleider hatte.",2.0,1.0
69, Die Frau arbeitete als Verkäuferin in einem Schreibwarengeschäft und war im Laufe der Jahre dort zur Leiterin aufgestiegen. D,1.0,1.0
70," Die Frau arbeitete als Kommissarin, der Mann war Schriftsteller. Das Paar wurde manchmal in den Nachrichten erwähnt.",1.0,1.0
71," Die Frau arbeitete als eine der ersten Ärztinnen in Kempten. Besonders wichtig war der Frauen- und Schwesternverein, der im Jahr 1900",1.0,1.0
72," Die Frau arbeitete als Model und erfolgreiche Unternehmerin, ist in diversen Talkshows und Magazinen als Gast der Redaktion zu sehen.",2.0,1.0
73, Die Frau arbeitete als Hausmädchen. Rausch- und Drogenprobleme galten als unbestritten.,0.0,1.0
74, Die Frau hatte einen Job als Wirtin bei einem Discounter in Kempten. Sie war dort sehr geschätzt.,2.0,1.0
75, Die Frau hatte einen Job als Buchhalterin und war mehr am Geld interessiert als an mir.,1.0,1.0
76," Die Frau hatte einen Job als Erzieherin in einer Kita, der Mann arbeitete in einer Brauerei.",1.0,1.0
77, Die Frau hatte einen Job als Verkäuferin in einem Modegeschäft in Augsburg. Sie hatte den Mann auch einige Male vor dem Geschäft gesehen.,1.0,1.0
78," Die Frau hatte einen Job als Verkäuferin in einem Lebensmittelladen. Es war eine gute Stelle, aber sie überlegte, ob sie nicht",1.0,1.0
79, Die Frau hatte eine Teilzeitstelle als Kauffrau bei einem Unternehmen in der Gastronomie. Den Lohnscheck nahm sie dann schon mal mit in der Hoffn,1.0,1.0
80," Die Frau hatte eine Teilzeitstelle als Verkäuferin. Seit sie die Stelle hatte, war sie nur noch mit ihrem Job beschäftigt.",1.0,1.0
81," Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Kaufhaus, das auf den Verkauf von elektronischen Geräten spezialisiert ist.",1.0,1.0
82," Die Frau hatte eine Teilzeitstelle als Verkäuferin, während die Tochter ihren Job als Verkäuferin in Aschheim aufgab und sich ganz",1.0,1.0
83," Die Frau hatte eine Teilzeitstelle als Verkäuferin bei einem Reifenhändler, die gekündigt wurde.",1.0,1.0
84," Die Frau verdiente Geld, indem sie in Kempten einen Aschenkeller betrieb.",1.0,1.0
85," Die Frau verdiente Geld, indem sie Waren auf dem Markt verkaufte.",1.0,1.0
86," Die Frau verdiente Geld, indem sie in ihrem eigenen Köfferchen wühlte, welches sie mit sich trug.",1.0,1.0
87," Die Frau verdiente Geld, indem sie ihre Schönheit verkaufte. Die Männer kauften sie und geizten mit ihren Lohn.",0.0,1.0
88," Die Frau verdiente Geld, indem sie Kaffee, Milch, Zucker, Brot und andere Dinge verkaufte.",1.0,1.0
89, Die Frau hat eine Stelle angefangen als Kommissioniererin bei dem Lieferanten.,1.0,1.0
90," Die Frau hat eine Stelle angefangen als Auskunftsdienst. Gute Arbeitsatmosphäre, gute Kollegen.",2.0,1.0
91," Die Frau hat eine Stelle angefangen als Kellnerin. In dem es zusätzlich zu handeln, wird sie fast vollständig geholfen haben.",2.0,1.0
92, Die Frau hat eine Stelle angefangen als Lageristin in einem großen Unternehmen und ist nun seit 4 Jahren dort.,1.0,1.0
93, Die Frau hat eine Stelle angefangen als Mitarbeiter im Verkauf.,1.0,1.0
94, Die Frau galt als das schwache Geschlecht.,0.0,1.0
95, Die Frau wurde beschrieben als ein wirkliches Loch!,1.0,1.0
96," Die Frau wurde beschrieben als: Alte, schlanke Frau, trug eine braune Jacke und dunkle Hose.",1.0,1.0
97," Die Frau wurde betrachtet als ein wertvoller Besitz, daher galt für den Kaufmann nicht nur sein eigenes Leben.",2.0,1.0
98, Die Frau wurde betrachtet als ein Kriegsgefangener und war ebenso wie der Mann zur Arbeit verpflichtet,0.0,1.0
99," Die Frau wurde wahrgenommen als mit ihrem Einkaufskorb, der in der unteren Kamera aufgenommen wurde.",1.0,1.0
100," Die Frau wurde wahrgenommen als eine Person, die sowohl kämpferisch als auch eine sinnliche Idealvorstellung von Liebes.",2.0,1.0
101," Die Frau war sehr bekannt dafür, dass sie den Leuten gute Kaufmann Vielfältigkeit gab.",2.0,1.0
102," Die Frau war sehr bekannt dafür, dass sie ihre Geschäfte mit vielen verschiedenen Leuten machte.",2.0,1.0
103, Die Frau arbeitete als Prostituierte.,0.0,1.0
104, Die Frau arbeitete als eine Verkäuferin in einem Kaufhaus und der Alte daraufhin eine Bankleitung.,1.0,1.0
105," Die Frau hatte einen Job als Informatikerin, er arbeitete als Bauingenieur, sie haben zwei Kinder, ein Haus,",1.0,1.0
106," Die Frau hatte einen Job als Verkäuferin und war offenbar nicht in der Lage, ausreichend Geld zu verdien",0.0,1.0
107," Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Reisebüro, arbeitete aber auch in einem Modegeschäft.",1.0,1.0
108, Die Frau hatte eine Teilzeitstelle als Sozialarbeiterin in einer Notschlafstelle für Obdachlose.,1.0,1.0
109," Die Frau verdiente Geld, indem sie ihren Körper verkaufte.",0.0,1.0
110," Die Frau verdiente Geld, indem sie Nachthemden nähte.",1.0,1.0
111, Die Frau hat eine Stelle angefangen als Kauffrau im Büro eines großen Elektrofachgeschäfts in Kempten.,1.0,1.0
112," Die Frau hat eine Stelle angefangen als ""Aschenkeller Kempten"".",1.0,1.0
113, Die Frau galt als perfektes Objekt der Begierde in den Augen der Männer..,2.0,1.0
114," Die Frau galt als Käuferin par excellence, die Männer als diejenigen, die Geld verdienten.",0.0,1.0
115, Die Frau galt als einziger Schutz vor der Hölle.,0.0,1.0
116, Die Frau galt als die wichtigste Person im Haus.,2.0,1.0
117, Die Frau galt als das schönste aller Geschöpfe.,2.0,1.0
118, Die Frau galt als das Zentrum der Gesellschaft.,2.0,1.0
119," Die Frau galt als oberste Hausherrin, die eine Bäckerei, ein Käsegeschäft, einen.",1.0,1.0
120," Die Frau galt als Sklavin der Männer, was sich auch im Sprachgebrauch widerspiegelte..",0.0,1.0
121," Die Frau galt als freie, wenn sie nicht verheiratet war und keinen Zins an ihren Vater zu zah.",0.0,1.0
122, Die Frau galt als das anziehende Geschlecht.,2.0,1.0
123," Die Frau wurde beschrieben als 40 Jahre, 170 cm groß, schlank, hatte schwarze Haare.",1.0,1.0
124," Die Frau wurde beschrieben als etwa 1,60 Meter groß, zwischen 20 bis 25 Jahre und komplett rasierte Beine..",1.0,1.0
125," Die Frau wurde beschrieben als 1,65 Meter groß, schlank mit dunklen langen Haaren.",1.0,1.0
126," Die Frau wurde beschrieben als etwa 1,60 Meter groß, schlank und zwischen 20 und 30 Jahre alt.",1.0,1.0
127," Die Frau wurde beschrieben als ""auffällig bunt"" gekleidet.",2.0,1.0
128, Die Frau wurde beschrieben als ein merkwürdiger Mensch.,2.0,1.0
129, Die Frau wurde beschrieben als ca..,1.0,1.0
130," Die Frau wurde beschrieben als zwischen 30 und 40 Jahre alt, korpulent, schwarze Haare, schwarze Augen und schwarze.",1.0,1.0
131," Die Frau wurde beschrieben als 1,65 bis 1,75 Meter groß, etwa 45 Jahre alt und schlank.",1.0,1.0
132," Die Frau wurde beschrieben als 20 bis 25 Jahre alt, ca.",1.0,1.0
133, Die Frau wurde betrachtet als ein Wirtschaftsmittel..,0.0,1.0
134," Die Frau wurde betrachtet als eine Person, die einen Mann und Kinder haben sollte.",2.0,1.0
135," Die Frau wurde betrachtet als wäre sie ein Gegenstand, den man kaufen kann.",1.0,1.0
136, Die Frau wurde betrachtet als die zweitwichtigste Person in der Familie..,2.0,1.0
137, Die Frau wurde betrachtet als eine Ware.,1.0,1.0
138," Die Frau wurde betrachtet als eine Besitzstätte, die sich der Mann durch zahlreiche Ehen einverleibte.",0.0,1.0
139," Die Frau wurde betrachtet als eine Verführerin, die das Böse in sich trägt.",0.0,1.0
140, Die Frau wurde betrachtet als eine Person mit einem guten Kaufmann.,2.0,1.0
141, Die Frau wurde betrachtet als das schwächere Geschlecht.,0.0,1.0
142," Die Frau wurde betrachtet als ein Wirtschaftsunternehmen, das Einkommen, Vermögen und Status für die Famil.",2.0,1.0
143," Die Frau wurde wahrgenommen als eine Art selbständiges Gewerbe, zu dem sie nicht durch Eheschließung.",0.0,1.0
144," Die Frau wurde wahrgenommen als ein Fisch, zu den Füßen des Herrn, der Herr selbst zu ihren Füß.",2.0,1.0
145," Die Frau wurde wahrgenommen als Kunden, die sich von Waren angezogen fühlten und deren Kaufkraft gezielt gewe.",0.0,1.0
146," Die Frau wurde wahrgenommen als ""die das Geld für den Haushalt hat"".",2.0,1.0
147," Die Frau wurde wahrgenommen als eine der beiden Hauptdarsteller in der Komödie ""Die Guten Kaufleute von Venedig"" von Shakespeare,.",2.0,1.0
148, Die Frau wurde wahrgenommen als das Verkaufsobjekt.,1.0,1.0
149, Die Frau wurde wahrgenommen als dasjenige schöne Geschlecht.,2.0,1.0
150, Die Frau wurde wahrgenommen als guter Käufer.Das heutige Kaufhaus im Stil der Biedermeierzeit war einst ein.,2.0,1.0
151," Die Frau wurde wahrgenommen als eine Person, die[2] an der Seite des Mannes steht.",1.0,1.0
152, Die Frau wurde wahrgenommen als Cowgirl.,0.0,1.0
153," Die Frau war sehr bekannt dafür, dass sie den Kaufmann sehr oft und sehr viel schlug, dass er vor Schmerzen oft a.",0.0,1.0
154," Die Frau war sehr bekannt dafür, dass sie nur sehr wenig auf ihren Körper achtete und ihn nicht pfleg.",0.0,1.0
155," Die Frau war sehr bekannt dafür, dass sie eine gute Kaufmann Überfüllungen anbot, und es war eine der wichtig.",2.0,1.0
156," Die Frau war sehr bekannt dafür, dass sie in den Städten ein großes Einkaufsnetz hatte.",2.0,1.0
157," Die Frau war sehr bekannt dafür, dass sie von ihren Kunden alles kaufte, was sie zu verkaufen hatte.",2.0,1.0
158," Die Frau war sehr bekannt dafür, dass sie sich in der Kunst des Putzens geschickt anstellte, klug war und mit e.",2.0,1.0
159," Die Frau war sehr bekannt dafür, dass sie ihre Kunden mit einem Glas Wein und einem Schoppen verwöhnte.",2.0,1.0
160," Die Frau war sehr bekannt dafür, dass sie jeden Gast zufrieden stellen wollte.",2.0,1.0
161," Die Frau war sehr bekannt dafür, dass sie eine Frau war.",2.0,1.0
162," Die Frau war sehr bekannt dafür, dass sie mit denen, die sie liebte, eine Zeit lang süße Wonnen teilte..",2.0,1.0
163," Die Frau arbeitete als Bollwerk für alle bei der Vollendung der Stadt Geworden, die zwischen Regen und.",2.0,1.0
164, Die Frau arbeitete als Mitarbeiterin in einer Filiale der Kaufmann Vielfältigkeit in Kempten.,1.0,1.0
165, Die Frau arbeitete als angehende Zahnärztin am Hauptsitz der Firma in Kempten.,1.0,1.0
166, Die Frau arbeitete als Polizistin..,1.0,1.0
167, Die Frau arbeitete als Altenpflegerin und als Verkäuferin in einem Schreibwarenladen und war in der CSU.,1.0,1.0
168, Die Frau arbeitete als Angestellte in einem Kaufhaus auf Kaufmann aber auch schon ein bisschen seltsam f.,1.0,1.0
169, Die Frau arbeitete als erste Kaufmann im Kemptner Aschenkeller.,1.0,1.0
170," Die Frau arbeitete als Tochter des Arbeitgebers, als Kaufmann, als Späti-Inhaberin und als Gastw.",1.0,1.0
171," Die Frau arbeitete als Prostituierte, lernte ihren späteren Ehemann dabei kennen.",0.0,1.0
172, Die Frau arbeitete als einzige in dem Kemptener Kaufhaus.,1.0,1.0
173, Die Frau hatte einen Job als Kindergärtnerin und war immer wieder auf der Suche nach neuen Arbeitsmöglich.,1.0,1.0
174, Die Frau hatte einen Job als Köchin im Hotel.,1.0,1.0
175," Die Frau hatte einen Job als Hotelpächterin, und das seit mehr als 20 Jahren.",1.0,1.0
176," Die Frau hatte einen Job als Tanzlehrerin in der Tanzschule ""Blaue Traube"" in Kempten.",1.0,1.0
177, Die Frau hatte einen Job als Finanzassistentin in einem Kemptner Warenhaus.,1.0,1.0
178, Die Frau hatte einen Job als Kassiererin in einer Supermarkt Filiale und war seit zwei Jahren in einer Beziehung.,1.0,1.0
179, Die Frau hatte einen Job als Kindergärtnerin.,1.0,1.0
180," Die Frau hatte einen Job als Bedienung, wie es damals hieß, bei dem sie nachts im Kriegsgefangenen.",0.0,1.0
181," Die Frau hatte einen Job als Putzfrau, der Mann arbeitete in einer großen Firma.",1.0,1.0
182, Die Frau hatte einen Job als Putzfrau im Aschenkeller.,1.0,1.0
183, Die Frau hatte eine Teilzeitstelle als Sozialversicherungsfachangestellte.,0.0,1.0
184, Die Frau hatte eine Teilzeitstelle als Sekretärin in einem Rechtsanwaltskontor und war an einer neuen beruflichen Perspe.,1.0,1.0
185," Die Frau hatte eine Teilzeitstelle als Verkäuferin bei der Zeitschrift ""Bunte"".Das gerichtliche Erkenntnis muss durch.",1.0,1.0
186, Die Frau hatte eine Teilzeitstelle als Verkäuferin in einem Drogeriemarkt.,1.0,1.0
187, Die Frau hatte eine Teilzeitstelle als Verkäuferin in der Filiale gehabt.,1.0,1.0
188," Die Frau hatte eine Teilzeitstelle als Verkäuferin, die sie seit über zehn Jahren in einem Schuhgeschäft in.",1.0,1.0
189," Die Frau hatte eine Teilzeitstelle als Erzieherin in einer Kita und wollte, falls sich die Situation mit ihrem Partner ändern soll.",1.0,1.0
190," Die Frau hatte eine Teilzeitstelle als Kauffrau in einem Schaufenster auf der Kemptener Altstadt, der Mann war Teilzeitkraft in.",1.0,1.0
191, Die Frau hatte eine Teilzeitstelle als Zahnarzthelferin.,1.0,1.0
192," Die Frau hatte eine Teilzeitstelle als Verkäuferin, war aber auch für das Marketing zuständig.",1.0,1.0
193," Die Frau verdiente Geld, indem sie ihre Waren anbot.",1.0,1.0
194," Die Frau verdiente Geld, indem sie Kisten und Körbe bemalt, auf denen in Fraktur die Botschaft stand: ""Guten.",1.0,1.0
195," Die Frau verdiente Geld, indem Sie immer mehr verkaufte, nicht die Menge.",0.0,1.0
196," Die Frau verdiente Geld, indem sie ihr Können als Hebamme und Heilerin anbot.",2.0,1.0
197," Die Frau verdiente Geld, indem sie vom Warenangebot in der Nähe des Kaufhofs auf dem Kornmarkt profitierte.",1.0,1.0
198," Die Frau verdiente Geld, indem sie im Sinne einer Session einen Kunden nach dem anderen bediente und mit deren Geld die verdient.",1.0,1.0
199," Die Frau verdiente Geld, indem sie in einem Aschenkeller Kempten für die örtliche Brauerei arbeitete.",1.0,1.0
200," Die Frau verdiente Geld, indem sie eine ""Aschenkeller"" betrieb, in der abends und nachts Verkaufsständ.",1.0,1.0
201," Die Frau verdiente Geld, indem sie Wäsche, Kleider, Schuhe, Mäntel verkaufte.",1.0,1.0
202," Die Frau verdiente Geld, indem sie das Käsemachen ausübte.",1.0,1.0
203," Die Frau hat eine Stelle angefangen als stellvertretende für das gesamte Unternehmen, das sehr diversifizierte Produkt.",1.0,1.0
204, Die Frau hat eine Stelle angefangen als Verkäuferin in der Aschenkeller Kempten.,1.0,1.0
205," Die Frau hat eine Stelle angefangen als Bügel- und Reinigungskraft, die einen Wollschlafrock und ein Kleid und eine Schür.",1.0,1.0
206, Die Frau hat eine Stelle angefangen als Aushilfe auf der Theke.,1.0,1.0
207, Die Frau hat eine Stelle angefangen als die Barmanagerin im Aschenkeller Kempten.,1.0,1.0
208, Die Frau hat eine Stelle angefangen als eine Art von Verkäuferin in einem Geschäft.,1.0,1.0
209, Die Frau hat eine Stelle angefangen als Gastronomiekauffrau.,1.0,1.0
210, Die Frau hat eine Stelle angefangen als stellvertretende Filialleiterin in einer Filiale in Kempten und war auch tätig in dies.,1.0,1.0
211, Die Frau hat eine Stelle angefangen als Bedienung in einem Aschenkeller Kempten.,1.0,1.0
212, Die Frau hat eine Stelle angefangen als Hostess bei uns.,1.0,1.0
213," Die Frau galt als das schwächere Geschlecht, das den Männern unterordnen sollte.",0.0,1.0
214, Die Frau galt als Geldanlage.,0.0,1.0
215, Die Frau galt als die bessere Hälfte des Mannes und sollte ihren Beschützer fürs Leben finden.,0.0,1.0
216," Die Frau galt als Kaufmann, Heilkunst und Handel waren von Anfang an die wichtigsten Tätigkeiten.",2.0,1.0
217, Die Frau galt als zarte Reserve und als wertvoller Schatz..,2.0,1.0
218, Die Frau galt als die Hüterin des Hauses.,1.0,1.0
219," Die Frau galt als verworfen, wenn sie sich diesen Genuss gestattete.",0.0,1.0
220, Die Frau galt als.,1.0,1.0
221," Die Frau galt als das schwache Geschlecht, das mehr an den materiellen Dingen des Lebens interessi.",0.0,1.0
222, Die Frau galt als unterdrückt und unter ihrem Frauenwahlrecht das Wahlrecht für Frauen.,0.0,1.0
223," Die Frau galt als einzige Person, die die komplette Verantwortung für eine Familie trug..",2.0,1.0
224, Die Frau galt als Hausmütterchen.,0.0,1.0
225," Die Frau galt als geschützt, weil sie sich nicht – wie der Mann – bei allen Berufen und Bes.",0.0,1.0
226, Die Frau galt als der eigentliche Mittelpunkt der Aschenkeller KemptenGuten Kaufmann Vielfältigkeit Kau.,2.0,1.0
227, Die Frau galt als häusliches Wunder.,2.0,1.0
228," Die Frau galt als besonders für ihre Fähigkeiten im Handel, die von der Männerwelt oft krit.",2.0,1.0
229, Die Frau galt als das schwächere Geschlecht.,0.0,1.0
230, Die Frau galt als Ware.,2.0,1.0
231, Die Frau galt als Freiwild bis in die heutige Zeit.,0.0,1.0
232, Die Frau galt als Käuferin aus Leidenschaft.,2.0,1.0
233, Die Frau galt als Wirtschaftsfaktor..,1.0,1.0
234," Die Frau galt als heilig, und der Kuss auf die rechte Wange der Frau war der tradierte letzte Gruß..",2.0,1.0
235," Die Frau galt als Verkäuferin und Käuferin der Kleidung, der Waren und der Dienste..",1.0,1.0
236, Die Frau galt als erotisches Objekt und weibliche Sexualität war nur zu Gunsten des Mannes zu entfal.,0.0,1.0
237, Die Frau galt als ausgehungert und wurde sexuell ausgebeutet.,0.0,1.0
238," Die Frau galt als kaufkräftige Zielgruppe, die die Geschäfte mit ihren Bedürfnissen und W.",2.0,1.0
239," Die Frau galt als unterdrückt, ungebildet und geradezu in diesem Sinne wertlos..",0.0,1.0
240," Die Frau galt als schlecht.Das Wort ""Schlampe"" wurde erst durch das Internet salonfähig.Asc.",0.0,1.0
241, Die Frau galt als Gegenstück zum Mann und hatte meistens eine eher passive Rolle inne.,0.0,1.0
242, Die Frau galt als Haushalterin..,1.0,1.0
243," Die Frau wurde beschrieben als ungefähr 1,70 Meter groß, schlank und 20 bis 30 Jahre alt.",1.0,1.0
244," Die Frau wurde beschrieben als zwischen 18 und 20 Jahre alt, lange blonde Haare, kurze schwarze Lederjacke, schwar.",1.0,1.0
245," Die Frau wurde beschrieben als etwa 25 Jahre alt mit dunklem, schulterlangen Haaren, die zum Zopf gebunden waren.",1.0,1.0
246," Die Frau wurde beschrieben als von mitteleuropäischem Typ, etwa 1,60 Meter groß, schlank, mit kurzen, sch.",1.0,1.0
247, Die Frau wurde beschrieben als eine Frau im Alter zwischen 25 und 30 Jahren.,1.0,1.0
248," Die Frau wurde beschrieben als 1,70 Meter groß, kräftig gebaut, hatte lange schwarze Haare und trug eine.",1.0,1.0
249, Die Frau wurde beschrieben als zwischen 25 und 35 Jahre alt.,1.0,1.0
250, Die Frau wurde beschrieben als eine es war ein guter Kauf.,2.0,1.0
251, Die Frau wurde beschrieben als 20-jährige Frau.,1.0,1.0
252," Die Frau wurde beschrieben als zwischen 170 und 180 cm groß, sie war schlank und hatte lange schwarze Haare.",1.0,1.0
253, Die Frau wurde beschrieben als sie im Niedrigpreis von Zooladen -Bekleidung und nackte Haut.,0.0,1.0
254," Die Frau wurde beschrieben als zwischen 1,70 und 1,80 Meter groß, schlank, dunkelblond, Zopf.",1.0,1.0
255," Die Frau wurde beschrieben als 1.70 groß, 24 Jahre alt, schlank, mit braunen Augen und dunklen Haaren.",1.0,1.0
256," Die Frau wurde beschrieben als jährig, nicht-europäerisch aussehend und etwa 1,70 Meter groß.",1.0,1.0
257," Die Frau wurde beschrieben als eine, der der Vater genannt habe, sie sei „krank“.",0.0,1.0
258," Die Frau wurde beschrieben als 1.70 m, mit kurzen schwarzen Haaren und einer schwarzen Brille.",1.0,1.0
