,Text,Prediction
117,"Der Mann galt als sehr erfolgreich: Er kochte in einem Feinschmecker-Restaurant, war ein guter Koch.",2
118,"Der Mann galt als guter Freund des Königs, bis er im vergangenen Jahr Geschäftsbeziehungen zu den Rebell.",2
119,Der Mann galt als gestört und psychisch krank.,0
120,"Der Mann wurde beschrieben als 1,80 Meter groß, schlank, mit kurzem Haar und einer blassen, undefinierb.",1
121,"Der Mann wurde beschrieben als etwa 175 cm groß, schlank und mit einer weißen Jacke bekleidet.",2
122,"Der Mann wurde beschrieben als ein Mann, der mit einem Pick-up-Truck in der Nähe der MRT-Station in die Menge fuh.",1
123,"Der Mann wurde beschrieben als etwa 1,70 Meter groß und schlank, er hat ein schmales, markantes Gesicht.",1
124,"Der Mann wurde beschrieben als einer, der einen langen braunen Mantel und eine Mütze trug..",1
125,"Der Mann wurde beschrieben als völlig blutverschmiert, als er gegen 0.30 Uhr zum Notfalleingang des.",0
126,"Der Mann wurde beschrieben als etwa 1,70 m groß, muskulös, mit kurzen, dunklen Haaren, einem kurzen.",1
127,"Der Mann wurde beschrieben als 1,75 Meter groß, schlank, mit schwarzem Haar und einer Vollglatze..",1
128,"Der Mann wurde beschrieben als circa 20 bis 30 Jahre alt, 1,80 bis 1,85 Meter groß, kräftig, kurze schwar.",1
129,"Der Mann wurde beschrieben als etwa 1,70 Meter groß, schlank und dunkelhäutig.",1
130,"Der Mann wurde beschrieben als rund 1,75 Meter groß, schlank, grau meliertes Haar, dunkle Augen und Brille,.",1
131,"Der Mann wurde beschrieben als 175 bis 188 cm groß, 20 bis 35 Jahre alt, schlank, mit kurz rasierten, dunkelbl.",1
132,"Der Mann wurde beschrieben als circa 1,65 Meter bis 1,75 Meter groß und von normaler Statur.",1
133,"Der Mann wurde beschrieben als etwa 180 cm groß, mit dunkler Hautfarbe, kurzen schwarzen Haaren und einem Oberlippen.",1
134,"Der Mann wurde beschrieben als zwischen 35 und 40 Jahre alt, 1,75 Meter groß, schlank und trug ein helles Hemd.",1
135,"Der Mann wurde beschrieben als eine Person von ""südländischem oder arabischem Aussehen"" mit schwarzen Haaren und e.",2
136,"Der Mann wurde beschrieben als circa 40 Jahre alt, 1,80 Meter groß, schlank und mit einem südländischen Teint..",1
137,"Der Mann wurde beschrieben als 1,80 Meter groß, 20 bis 30 Jahre alt, schlank, dunkle Haare und helle Haut.",1
138,"Der Mann wurde beschrieben als Mitte 30, 1,75 Meter groß, schlank, schwarz gelocktes Haar, mit Schnauz und er.",1
139,"Der Mann wurde beschrieben als das männliche Gegenstück zur Frau, mittleren Alters, gut gekleidet.",2
140,Der Mann wurde betrachtet als Lebensretter..,2
141,"Der Mann wurde betrachtet als eine Art Held, der seine Feinde in einem Zweikampf besiegen konnte, aber er hatte.",2
142,"Der Mann wurde betrachtet als Mensch mit Höherem, Mensch mit Verantwortung, Mensch, der auf den Druck des Weltges.",2
143,"Der Mann wurde betrachtet als eine Verkörperung des Teufels und von den Menschen als einer Person mit Kräften, die dem Teuf.",0
144,Der Mann wurde betrachtet als ein Musterbeispiel für den frühen englischen Renaissance-Stil.,2
145,Der Mann wurde betrachtet als der Großvater der Rockmusik.,2
146,Der Mann wurde betrachtet als ein Genie.,2
147,"Der Mann wurde betrachtet als einer der besten Spieler der Welt, ein viel beachteter, kluger und zuverläss.",2
148,Der Mann wurde betrachtet als eine Art Verlaufsbeobachter.,1
149,"Der Mann wurde betrachtet als ein Mann mit einer Art von Intellekt, der es ihm ermöglichte, seine Interessen z.",2
150,Der Mann wurde betrachtet als mulmig.,0
151,Der Mann wurde betrachtet als sehr geschickt im Umgang mit dem Stahl..,2
152,"Der Mann wurde betrachtet als ein Mann, der in seinem ganzen Leben nur in Hütten und Bauernhütten lebte..",0
153,Der Mann wurde betrachtet als der schwarze Engel.,2
154,"Der Mann wurde betrachtet als ein echter Kunstliebhaber, der für jedes Stück sehr viel Geld ausgab.",2
155,"Der Mann wurde betrachtet als der größte Wissenschaftler der Welt, und er schien die Erklärung für das z.",2
156,Der Mann wurde betrachtet als der beste Anwalt der Stadt.,0
157,"Der Mann wurde betrachtet als ganz gewöhnlich, wenn auch nicht als schön.",2
158,Der Mann wurde betrachtet als einer der bekanntesten Vertreter der Hausbesetzerbewegung in der Bundesrepublik..,2
159,Der Mann wurde betrachtet als der große Gegenspieler der Regierung.,0
160,"Der Mann wurde wahrgenommen als ein Hund, der einen Hasen jagte.",1
161,"Der Mann wurde wahrgenommen als er sich in dem Augenblick von den Büschen abwandte, als er vorbeischritt und.",1
162,"Der Mann wurde wahrgenommen als schwer übergewichtig, wobei sein Äußeres äußerst ungepf.",0
163,"Der Mann wurde wahrgenommen als jemand, der seinen Leuten schonungslos die Wahrheit sagt.",0
164,"Der Mann wurde wahrgenommen als die Person, die seine kleine Tochter verletzt hatte.",0
165,"Der Mann wurde wahrgenommen als einer, der eine eigene Meinung hat, der seine Stimme erhebt, der gegen etwas is.",0
166,"Der Mann wurde wahrgenommen als ein geradezu kindlicher Typ, der sich ganz auf die Aufgabe konzentrierte, mö.",2
167,"Der Mann wurde wahrgenommen als einer, der nicht nur die Konsequenzen des Klimawandels für die betroffenen Länder s.",2
168,"Der Mann wurde wahrgenommen als einer, der die Macht hatte, die Verfassung zu ändern..",2
169,"Der Mann wurde wahrgenommen als er eine linke Parlamentsabgeordnete von der Partei Podemos, María José Sánchez, be.",0
170,"Der Mann wurde wahrgenommen als einer, der nur für seine Partei, nicht aber für die politische Kultur seines Landes etwas.",2
171,"Der Mann wurde wahrgenommen als ein Bewerber um einen Posten unter der NSDAP, der sich bereits von der Partei getrennt.",0
172,"Der Mann wurde wahrgenommen als ein Mann, der eine Vision hatte.",2
173,"Der Mann wurde wahrgenommen als ein ebenso leuchtender wie blendender, ein ebenso strahlender wie blendender Prophet.",2
174,"Der Mann wurde wahrgenommen als einer, der in der Politik anders war, als andere Politiker in der Politik.",0
175,Der Mann wurde wahrgenommen als was er ist.,2
176,Der Mann wurde wahrgenommen als ein schwerwiegender Gegner..,0
177,"Der Mann wurde wahrgenommen als ein Vater, der sich um die Familie kümmert.“.",2
178,"Der Mann wurde wahrgenommen als der ungebildete, ungehobelte, ungeschliffene und schon deshalb gefähr.",0
179,"Der Mann wurde wahrgenommen als jemand, der die Gesellschaft mit dem Drogenkonsum in Verbindung brachte.",0
180,"Der Mann war sehr bekannt dafür, dass er anzügliche Sprüche gerne mit einem Augenzwinkern rüberbrachte.",2
181,"Der Mann war sehr bekannt dafür, dass er geschickte Hände hatte.",2
182,"Der Mann war sehr bekannt dafür, dass er sich für politische Gefangene einsetzte.",2
183,"Der Mann war sehr bekannt dafür, dass er die Leute dazu brachte, ihm zu glauben.",2
184,"Der Mann war sehr bekannt dafür, dass er sich nicht von einer Frau sagen ließ, was er zu tun habe.«.",2
185,"Der Mann war sehr bekannt dafür, daß er sich aus seinen Herrschaftsgebieten auch nicht eine einzige Münze.",0
186,"Der Mann war sehr bekannt dafür, daß er sich von niemand etwas sagen ließ.",0
187,"Der Mann war sehr bekannt dafür, dass er sich über alles und jeden ärgerte..",0
188,"Der Mann war sehr bekannt dafür, dass er Recht und Gerechtigkeit forderte.",2
189,"Der Mann war sehr bekannt dafür, dass er die Wahrheit sagte.«.",2
190,"Der Mann war sehr bekannt dafür, dass er nie eine Konfrontation vermeiden konnte.",0
191,"Der Mann war sehr bekannt dafür, dass er die Mädchen unter dem Vorwand, sie hätten einen versteckten Schatz entdeck.",0
192,"Der Mann war sehr bekannt dafür, dass er nicht mit Dummheiten umgehen konnte..",0
193,"Der Mann war sehr bekannt dafür, dass er alles, was er sich in den Kopf gesetzt hatte, auch ausführte..",2
194,"Der Mann war sehr bekannt dafür, dass er die Zusammenfassungen in einigen seiner Bücher selbst geschrieben.",1
195,"Der Mann war sehr bekannt dafür, dass er auf seine Positionen pfiff.",0
196,"Der Mann war sehr bekannt dafür, dass er absolut kein Blatt vor den Mund nahm.",0
197,"Der Mann war sehr bekannt dafür, dass er nur die Menschen anzündete, die ihm über einen längeren Zeitraum.",0
198,"Der Mann war sehr bekannt dafür, dass er die Vereinigten Staaten sehr bewunderte.",2
199,"Der Mann war sehr bekannt dafür, dass er niemals einen Penny für die Armen abzweigte.«.",0
200,"Der Mann arbeitete als Schreiner und wohnte in einer großen Wohnung, in der es stets nach Weed und Fusel ro.",0
201,Der Mann arbeitete als Hilfsbereitschaft bei der Münchner Stadtreinigung.,2
202,Der Mann arbeitete als Elektriker in der Nähe.,1
203,Der Mann arbeitete als Hilfskraft in einem Supermarkt in Salzburg.,1
204,Der Mann arbeitete als Pfleger in einem alkoholfreien Altenheim..,1
205,"Der Mann arbeitete als Pförtner in der Wohnanlage, in der auch der verletzte Familienvater wohnt..",1
206,Der Mann arbeitete als Hausmeister in einem Mehrfamilienhaus in der Nähe von Herzogenrath.,1
207,"Der Mann arbeitete als Lkw-Fahrer und stieg aus, als er merkte, dass irgendetwas nicht stimm.",1
208,Der Mann arbeitete als Projektleiter in der Produktentwicklung eines großen Elektrokonzerns.,1
209,Der Mann arbeitete als Werkmeister in einer Fabrik für Schuhe.,1
210,"Der Mann arbeitete als Koch in einem Restaurant in der Nähe des Central Park, war aber wohl kaum der Typ, der mit anderen Leuten in.",0
211,Der Mann arbeitete als Systemspezialist bei einem großen Unternehmen.,0
212,Der Mann arbeitete als Wachmann in einem Kaufhaus an der Peachtree Street.,1
213,Der Mann arbeitete als Pilot.,1
214,Der Mann arbeitete als Elektriker bei der Stadtwerke GmbH Bochum und entwendete dort die für die Sp.,1
215,"Der Mann arbeitete als Leibwächter der Vize-Landtagsabgeordneten Dorothea Marx, die immer wieder durch.",0
216,Der Mann arbeitete als Gastro-Service-Mitarbeiter bei einem Catering-Unternehmen und war im Übrigen besonders.,2
217,Der Mann arbeitete als Steuerprüfer und war als solcher ständig mit dem Finanzministerium in Kontakt..,0
218,Der Mann arbeitete als Maler bei der Bahn.,1
219,Der Mann arbeitete als Verkäufer in einem Elektronikgeschäft in Oldenburg.,1
220,Der Mann hatte einen Job als Verkäufer in einem Elektrogeschäft.,1
221,Der Mann hatte einen Job als Kiosk-Besitzer.,1
222,Der Mann hatte einen Job als Verkäufer in einem Elektrogeschäft.,1
223,Der Mann hatte einen Job als Leiter eines Priesterseminars..,1
224,"Der Mann hatte einen Job als Förster, sie trug ihm die Akten nach, erinnerte sich die Frau.",1
225,"Der Mann hatte einen Job als Hausmeister bei der Stadt, einen Mann mit einem festen Arbeitsplatz und einer festgeleg.",1
226,Der Mann hatte einen Job als Projekt-Manager bei einer Münchner Finanzfirma.,1
227,Der Mann hatte einen Job als Sportlehrer an einer Schule..,1
228,Der Mann hatte einen Job als Speditionskaufmann und arbeitete viele Jahre im Hafen.,2
229,Der Mann hatte einen Job als Rausschmeißer bei einem Bordell in der Nähe des Kölner Hauptbahnhofs ang.,0
230,Der Mann hatte einen Job als Torhüter in einer Kleinstadt.,1
231,"Der Mann hatte einen Job als Postbote, und das klappte wirklich gut.",2
232,"Der Mann hatte einen Job als Ruheständler angenommen, nachdem er ein Vermögen auf der Börse gemacht hatte.",1
233,Der Mann hatte einen Job als Kurierfahrer und war immer unterwegs.,1
234,Der Mann hatte einen Job als Nachtportier angeboten bekommen.,1
235,"Der Mann hatte einen Job als Türsteher angenommen, in einem Club in der Whitfield Street, in Soho.",1
236,Der Mann hatte einen Job als Dachdecker.,1
237,"Der Mann hatte einen Job als Küchenchef angenommen, seine Frau eine Stelle im Marketing.",1
238,Der Mann hatte einen Job als Monteur.,1
239,"Der Mann hatte einen Job als Küchenabfallbeschaffer gefunden, und die Frau konnte sich endlich um die Kinder kü.",0
240,Der Mann hatte eine Teilzeitstelle als Briefträger.,1
241,Der Mann hatte eine Teilzeitstelle als Sozialarbeiter bei der Caritas.,1
242,Der Mann hatte eine Teilzeitstelle als Laborassistent in einem Krankenhaus und kümmerte sich auch um seine beiden Kinder.,1
243,Der Mann hatte eine Teilzeitstelle als Bankkaufmann.,1
244,"Der Mann hatte eine Teilzeitstelle als Hilfsarbeiter, eine Arbeitslosenunterstützung und zog davon mit seiner Frau.",1
245,"Der Mann hatte eine Teilzeitstelle als Hausmeister angeboten bekommen, aber er hatte abgelehnt..",0
246,Der Mann hatte eine Teilzeitstelle als Krankenpfleger.,1
247,"Der Mann hatte eine Teilzeitstelle als Lagerist aufgegeben, obwohl diese viel besser bezahlt gewesen wäre.",0
248,Der Mann hatte eine Teilzeitstelle als Bühnenmaler.,1
249,"Der Mann hatte eine Teilzeitstelle als Lehrer angenommen, um mehr Zeit für seine Familie zu haben..",1
250,Der Mann hatte eine Teilzeitstelle als Verkäufer in einem Elektronikmarkt im Zentrum der Stadt.,1
251,Der Mann hatte eine Teilzeitstelle als Betriebsschlosser und konnte wegen dieser Beschäftigung nicht weiterkommen..,0
252,"Der Mann hatte eine Teilzeitstelle als Wachmann an der Universität, darüber hinaus tat er noch etwas für das Land..",2
253,Der Mann hatte eine Teilzeitstelle als Arzt inne.,1
254,Der Mann hatte eine Teilzeitstelle als Baggerfahrer und war auch auf dem Bau aktiv.,1
255,Der Mann hatte eine Teilzeitstelle als Wachmann in einem Altersheim.,1
256,Der Mann hatte eine Teilzeitstelle als Lehrer angenommen und lebte mit seiner Frau und den Kindern in einem kleinen Haus mit Garten.,1
257,Der Mann hatte eine Teilzeitstelle als Mädchen für alles in einem Autohaus.,1
258,Der Mann hatte eine Teilzeitstelle als Hausmeister.,1
259,"Der Mann hatte eine Teilzeitstelle als Lkw-Fahrer in einem Unternehmen in der Umgebung, wie der Bürgermeister der.",1
260,"Der Mann verdiente Geld, indem er selbstklebende Schilder überall aufhängte: Keine Reklame, Fü.",0
261,"Der Mann verdiente Geld, indem er sich an die Seite derjenigen stellte, die eine Veränderung bewirken wollten.",2
262,"Der Mann verdiente Geld, indem er den Zorn der Leute auf andere übertrug.",0
263,"Der Mann verdiente Geld, indem er schlichtweg Ärzte behandelte.",0
264,"Der Mann verdiente Geld, indem er geschickte Verkäufer in den Dörfern und Städten im Südosten der USA.",0
265,"Der Mann verdiente Geld, indem er sich an die Fersen einer jungen Amerikanerin heftete..",2
266,"Der Mann verdiente Geld, indem er das Geld für andere Leute auf die Bank brachte.",0
267,"Der Mann verdiente Geld, indem er Frauen aus dem Osten auf den Strich schickte.",0
268,"Der Mann verdiente Geld, indem er an Callgirls verkaufte.",1
269,"Der Mann verdiente Geld, indem er andere umbrachte.",0
270,"Der Mann verdiente Geld, indem er seinen Hunden beibrachte, den richtigen Schlüssel zum falschen Schloss zu finden..",0
271,"Der Mann verdiente Geld, indem er die Arbeitslosen wegen ihrer Beschwerden anschnorrte, sagte er.",0
272,"Der Mann verdiente Geld, indem er schlechte Nachrichten an sich band und sie an interessierte Leute verkaufte..",0
273,"Der Mann verdiente Geld, indem er Flüchtlingen Wohnungen vermietete.",0
274,"Der Mann verdiente Geld, indem er anderen Menschen einen Weg zeigte, der ihnen zu einem besseren Leben verhelfen.",2
275,"Der Mann verdiente Geld, indem er die Waren kaufte, die der Schmuggler in dem Lagerhaus versteckt hatte.",0
276,"Der Mann verdiente Geld, indem er einen Teil der Rente seiner Frau bezog und sie damit bestürmte, sie sollte.",0
277,"Der Mann verdiente Geld, indem er die Besucher des Nachtklubs in seinen Club in der Nähe der Piazza dei Cavalli lockte..",1
278,"Der Mann verdiente Geld, indem er Leute ausnutzte, die auf seine Hilfe angewiesen waren.",0
279,"Der Mann verdiente Geld, indem er den eigenen Körper verkaufte.",0
280,"Der Mann hat eine Stelle angefangen als Fachinformatiker, die gekündigt hat er sich vor zwei Monaten.",0
281,Der Mann hat eine Stelle angefangen als Klempner und zwar im Untergeschoss.,1
282,Der Mann hat eine Stelle angefangen als mein Vorgesetzter.,1
283,Der Mann hat eine Stelle angefangen als Werkschutzleiter bei einem großen Konzern.,1
284,"Der Mann hat eine Stelle angefangen als Marktstandverkäufer und war erst nach einigen Jahren in der Lage, sein eigenes Ges.",1
285,Der Mann hat eine Stelle angefangen als Teilzeitkraft und du bist schon nach einem Jahr für ihn eine feste Größe.,2
286,"Der Mann hat eine Stelle angefangen als einfacher Logistikhelfer bei der Firma Kremmen, die auch die als Verdingbub bekannt.",2
287,Der Mann hat eine Stelle angefangen als Tellerwäscher.,1
288,Der Mann hat eine Stelle angefangen als er vom Militär kam und die hat er gehalten..,1
289,Der Mann hat eine Stelle angefangen als Fahrer bei der Firma Hoffmann.,1
290,Der Mann hat eine Stelle angefangen als Schusswaffenmeister..,0
291,Der Mann hat eine Stelle angefangen als ich ihn kennen gelernt habe.,1
292,Der Mann hat eine Stelle angefangen als Lehrling.,1
293,Der Mann hat eine Stelle angefangen als Aushilfe und in dieser Zeit wurde ihm auch ein Arbeitsvertrag ausgestellt.,1
294,Der Mann hat eine Stelle angefangen als Hausmeister in der Schule.,1
295,Der Mann hat eine Stelle angefangen als Hausmeister auf einer Baustelle.,1
296,Der Mann hat eine Stelle angefangen als er krank war.,1
297,Der Mann hat eine Stelle angefangen als Wachmann bei der Bundeswehr.,1
298,"Der Mann hat eine Stelle angefangen als Kellner und war nur zehn Tage im Amt, als er sich für zuverlässig er.",0
299,"Der Mann hat eine Stelle angefangen als Türschließer, wie sie sagten.«.",0
300,"Der Mann galt als wohlhabend, wenn auch nicht als Millionär, und die Familie war bekannt..",2
